dataset,key_id,key_mass,delta_k,mean_S_u1,within_key_cov,per_key_auc
n4q29d43,125,268435456,0.0161161422729,0.250134698276,0.000408295542002,0.562540582081
n4q29d43,126,268435456,0,0.254377693966,0,
n4q29d43,127,268435456,0,0.245420258621,0,
n4q19d43,0,268435456,0.0288027524948,0.236739309211,0.00107569069798,0.637596307535
n4q19d43,1,268435456,0.0256479978561,0.251233552632,0.000879768625294,0.60016454611
n4q19d43,2,268435456,0.00439453125,0.254420230263,0.000127541391473,0.542126025148
n4q19d43,3,268435456,0,0.141447368421,0,
n4q19d43,4,268435456,0.0199258327484,0.250822368421,0.000638649847947,0.614278308909
n4q19d43,5,268435456,0.0171185731888,0.254420230263,0.000455839130537,0.615976620097
n4q19d43,6,268435456,0.01513671875,0.254317434211,0.000230186863949,0.520387138069
n4q19d43,7,268435456,0.0226149559021,0.253495065789,0.000284246414116,0.53469433289
n4q19d43,8,268435456,0.0468317866325,0.253186677632,0.000893643487392,0.548512208993
n4q19d43,9,268435456,0.0333966612816,0.251644736842,0.000128859065865,0.488243626536
n4q19d43,10,268435456,0.0626703500748,0.246710526316,0.00503948056384,0.744160541493
n4q19d43,11,268435456,0.042325258255,0.254420230263,0.000768073908004,0.55756015396
n4q19d43,12,268435456,0.0915894210339,0.25390625,0.00185526654394,0.563348310525
n4q19d43,13,268435456,0.015625,0.230263157895,0.000359786184211,0.583851042248
n4q19d43,14,268435456,0.0861684083939,0.252364309211,0.000779090657536,0.572995881877
n4q19d43,15,268435456,0.0106086730957,0.233141447368,0.000902346874538,0.826742352082
n4q19d43,16,268435456,0.0403927564621,0.253803453947,0.000891795835311,0.569977079695
n4q19d43,17,268435456,0.00965929031372,0.222759046053,0.000644397235623,0.715161162608
n4q19d43,18,268435456,0.0218434333801,0.253803453947,0.000567325390875,0.60506812425
n4q19d43,19,268435456,0.0579906105995,0.252364309211,-0.000627715918726,0.425094169895
n4q19d43,20,268435456,0.111954987049,0.252158717105,0.00223883324131,0.580557704556
n4q19d43,21,268435456,0.0399168729782,0.232216282895,0.00140387705821,0.601911815525
n4q19d43,22,268435456,0.0286707878113,0.244962993421,0.00175271452846,0.741861219054
n4q19d43,23,268435456,0.0728486776352,0.221628289474,0.0018575194929,0.609334486145
n4q19d43,24,268435456,0.0935059189796,0.253803453947,0.00297898149093,0.639721698362
n4q19d43,25,268435456,0.0215119123459,0.251336348684,0.000354739457467,0.516723658878
n4q19d43,26,268435456,0.0333800911903,0.254420230263,-9.0855045097e-05,0.432867509184
n4q19d43,27,268435456,0.0172247886658,0.248560855263,0.000783468253518,0.702389288853
n4q19d43,28,268435456,0.0438456535339,0.232421875,0.000970017213963,0.601369398808
n4q19d43,29,268435456,0.0382869839668,0.239720394737,0.000283992726748,0.504748416825
n4q19d43,30,268435456,0.0524033308029,0.253186677632,0.000232051163422,0.497540439718
n4q19d43,31,268435456,0.0500949025154,0.254420230263,0.00128813662052,0.597604355038
n4q19d43,32,268435456,0.0361099243164,0.2421875,0.00135735147878,0.610620290466
n4q19d43,33,268435456,0.033275604248,0.203433388158,0.00245216606479,0.795882190182
n4q19d43,34,268435456,0.0463471114635,0.247430098684,0.000219827980465,0.485539582746
n4q19d43,35,268435456,0,0.252364309211,0,
n4q19d43,36,268435456,0,0.254214638158,0,
n4q19d43,37,268435456,0.0660295784473,0.249074835526,0.000820509822868,0.528591545391
n4q19d43,38,268435456,0.0742486715317,0.222759046053,0.00271476044222,0.639586775031
n4q19d43,39,268435456,0.0621280670166,0.250925164474,0.000269023015311,0.47476053527
n4q19d43,40,268435456,0.029483795166,0.253597861842,-0.000562976457571,0.345198723649
n4q19d43,41,268435456,0,0.216180098684,0,
n4q19d43,42,268435456,0.029616445303,0.25390625,0.000965517057155,0.569177497859
n4q19d43,43,268435456,0.00967407226562,0.254317434211,0.00073472449654,0.718428230595
n4q19d43,44,268435456,0.139717578888,0.254317434211,0.0014737451351,0.529459595802
n4q19d43,45,268435456,0.10776335001,0.254420230263,0.000110521453041,0.444998456581
n4q19d43,46,268435456,0,0.253186677632,0,
n4q19d43,47,268435456,0.113154023886,0.253186677632,0.00191678965501,0.558622014285
n4q19d43,48,268435456,0.136308699846,0.244140625,0.00318493495855,0.628260824369
n4q19d43,49,268435456,0.0334014892578,0.189967105263,0.00197376702961,0.750418009868
n4q19d43,50,268435456,0.0950995981693,0.251336348684,0.00340801977099,0.647585867522
n4q19d43,51,268435456,0.0263671875,0.250411184211,0.000691062525699,0.616792507151
n4q19d43,52,268435456,0.0419921875,0.239720394737,0.0032296431692,0.803713663485
n4q19d43,53,268435456,0,0.238178453947,0,
n4q19d43,54,268435456,0.0672424435616,0.253186677632,0.00171079161258,0.568820719298
n4q19d43,55,268435456,0.113612443209,0.252364309211,0.000342622059275,0.547989190181
n4q19d43,56,268435456,0.101622879505,0.235300164474,0.00118796347861,0.538869008871
n4q19d43,57,268435456,0.0484656095505,0.174444901316,0.00325098007574,0.730721647717
n4q19d43,58,268435456,0.0370855927467,0.215460526316,0.0012437651228,0.632923014126
n4q19d43,59,268435456,0.0114057064056,0.251439144737,0.000110220311112,0.491429915641
n4q19d43,60,268435456,0.0206165313721,0.250925164474,0.00113926416165,0.635679928065
n4q19d43,61,268435456,0.0159302651882,0.253803453947,0.000156000700755,0.548128955939
n4q19d43,62,268435456,0.149673014879,0.243626644737,0.00275953731034,0.558214720159
n4q19d43,63,268435456,0.00830078125,0.228207236842,0.00011504323859,0.520910831559
n4q19d43,64,268435456,0.071225643158,0.253700657895,0.00131916313579,0.565673251793
n4q19d43,65,268435456,0.0528926849365,0.237664473684,0.000783865389071,0.554535460212
n4q19d43,66,268435456,0.092018276453,0.25390625,0.00217437999642,0.597824932512
n4q19d43,67,268435456,0.11584341526,0.248766447368,0.003131320553,0.622440076417
n4q19d43,68,268435456,0.0793735980988,0.246196546053,0.00112413048842,0.531910869673
n4q19d43,69,268435456,0.0390434265137,0.254317434211,-9.44184629542e-06,0.44813912949
n4q19d43,70,268435456,0.0054931640625,0.254523026316,-2.80581022564e-05,0.463105795589
n4q19d43,71,268435456,0.00210571289062,0.252878289474,-2.38293095639e-05,0.431270335351
n4q19d43,72,268435456,0.0725438892841,0.254625822368,-0.00133772293951,0.37090995621
n4q19d43,73,268435456,0.0479001998901,0.247944078947,0.00176924114165,0.619435171182
n4q19d43,74,268435456,0.0868821442127,0.251439144737,0.000631632828644,0.497548598421
n4q19d43,75,268435456,0.00974369049072,0.229440789474,0.000359040341879,0.628038313103
n4q19d43,76,268435456,0.120808809996,0.230674342105,0.00307537038124,0.592677546357
n4q19d43,77,268435456,0.00471019744873,0.252055921053,0.000365182365242,0.846267747856
n4q19d43,78,268435456,0.0380837917328,0.254523026316,0.000806391533268,0.581789172747
n4q19d43,79,268435456,0.0514526292682,0.248046875,-0.000544017293386,0.437341830229
n4q19d43,80,268435456,0.0715589523315,0.236739309211,0.00239044692563,0.618372438664
n4q19d43,81,268435456,0.124864265323,0.249794407895,0.00226992440692,0.558133296006
n4q19d43,82,268435456,0.0548301339149,0.252981085526,-0.000180084583055,0.486360146352
n4q19d43,83,268435456,0.0498375892639,0.251953125,0.000452805555573,0.459801400962
n4q19d43,84,268435456,0.0454869270325,0.250822368421,0.000494122113052,0.526362599885
n4q19d43,85,268435456,0.0641857981682,0.253392269737,0.000648974814746,0.507236422612
n4q19d43,86,268435456,0.0891433358192,0.234169407895,0.00197863035933,0.610868244917
n4q19d43,87,268435456,0.0691456198692,0.253700657895,-0.000244543716115,0.4582707249
n4q19d43,88,268435456,0.001953125,0.254317434211,8.79388106497e-05,0.680109848948
n4q19d43,89,268435456,0.10929608345,0.250925164474,0.00144195956129,0.549600230756
n4q19d43,90,268435456,0.0054817199707,0.210731907895,1.82978416744e-05,0.508299208673
n4q19d43,91,268435456,0.0231919288635,0.228310032895,3.76265594049e-05,0.487482111869
n4q19d43,92,268435456,0.0352575778961,0.234683388158,0.00178404066614,0.68447340008
n4q19d43,93,268435456,0.0440881252289,0.233655427632,0.00245789499757,0.715589156933
n4q19d43,94,268435456,0.0729219317436,0.251130756579,0.00160602499167,0.586344940351
n4q19d43,95,268435456,0.0793507695198,0.254420230263,5.88654258632e-05,0.48234182448
n4q19d43,96,268435456,0.111319422722,0.251644736842,0.00381696400674,0.610889917672
n4q19d43,97,268435456,0.120908379555,0.252569901316,-0.000273650867472,0.465923045777
