feature_id,feature_value,Nz,Ez
secret_key,"A=0.14.2.17|t=1.1.0.0|e=18.0.0.1",268435456,13313520
secret_key,"A=17.4.6.18|t=0.0.0.1|e=0.0.18.18",268435456,2592896
secret_key,"A=17.6.5.9|t=0.1.18.18|e=0.0.1.0",268435456,10480640
secret_key,"A=18.10.18.15|t=18.18.18.1|e=0.1.1.1",268435456,33510616
secret_key,"A=18.13.6.2|t=18.0.0.1|e=18.0.1.1",268435456,23929232
secret_key,"A=18.17.3.12|t=18.0.1.0|e=1.18.0.0",268435456,11834816
secret_key,"A=18.18.16.11|t=0.0.0.18|e=0.18.1.18",268435456,7696256
secret_key,"A=18.7.16.8|t=1.18.1.0|e=0.18.0.0",268435456,9034528
secret_key,"A=18.9.6.18|t=0.1.18.18|e=1.1.18.0",268435456,30052688
secret_key,"A=2.0.13.3|t=0.18.0.18|e=1.0.1.0",268435456,9955088
secret_key,"A=2.10.7.16|t=1.18.0.18|e=18.0.0.0",268435456,11361600
secret_key,"A=2.13.6.3|t=0.1.0.0|e=18.18.0.0",268435456,2334976
secret_key,"A=2.14.12.10|t=0.1.1.0|e=1.1.1.1",268435456,28927504
secret_key,"A=2.18.10.11|t=18.1.1.0|e=1.0.0.18",268435456,23130656
secret_key,"A=2.5.12.7|t=18.0.1.18|e=1.1.18.0",268435456,31096480
secret_key,"A=2.6.10.14|t=18.1.0.1|e=1.18.1.1",268435456,37505152
secret_key,"A=2.6.11.18|t=1.0.0.0|e=0.1.1.18",268435456,3276800
secret_key,"A=2.6.2.8|t=0.18.0.18|e=0.0.18.18",268435456,12210304
secret_key,"A=2.8.2.1|t=1.1.1.1|e=1.0.18.1",268435456,40177544
secret_key,"A=2.9.5.3|t=0.1.0.0|e=0.1.0.1",268435456,1179648
secret_key,"A=3.16.18.7|t=18.1.0.1|e=18.0.1.0",268435456,19208960
secret_key,"A=3.2.6.15|t=0.0.0.0|e=18.0.18.18",268435456,4194304
secret_key,"A=3.5.10.10|t=1.0.0.0|e=0.1.0.0",268435456,0
secret_key,"A=4.11.8.13|t=1.18.0.0|e=0.0.0.18",268435456,6070656
secret_key,"A=4.12.11.7|t=18.1.1.0|e=1.18.18.18",268435456,29882080
secret_key,"A=4.16.10.3|t=18.1.18.0|e=1.18.18.0",268435456,24838826
secret_key,"A=4.16.13.12|t=0.1.18.1|e=1.18.0.18",268435456,29338944
secret_key,"A=4.18.11.9|t=0.0.0.1|e=0.1.1.1",268435456,7914496
secret_key,"A=4.2.2.14|t=0.0.0.18|e=1.18.0.0",268435456,1471488
secret_key,"A=4.9.13.6|t=1.18.0.0|e=1.1.1.0",268435456,21300560
secret_key,"A=5.11.3.2|t=0.1.18.1|e=1.18.1.0",268435456,25528104
secret_key,"A=5.12.5.2|t=0.18.0.1|e=0.1.18.18",268435456,21306688
secret_key,"A=5.13.4.17|t=0.0.1.18|e=0.0.0.0",268435456,1810432
secret_key,"A=5.2.11.5|t=0.0.18.1|e=0.0.18.0",268435456,5774560
secret_key,"A=5.3.1.10|t=1.0.1.18|e=18.0.1.1",268435456,24700968
