feature_id,feature_value,Nz,Ez
pk,"A=0.14.2.17|t=1.14.16.1",268435456,13313520
pk,"A=14.7.0.1|t=14.6.15.8",268435456,2615552
pk,"A=14.8.4.4|t=9.16.2.6",268435456,16677376
pk,"A=15.1.10.8|t=14.5.3.17",268435456,23617504
pk,"A=15.11.18.11|t=16.16.16.8",268435456,15566736
pk,"A=15.15.11.7|t=18.10.8.11",268435456,11394992
pk,"A=15.16.17.4|t=1.1.7.1",268435456,8932352
pk,"A=15.18.18.1|t=1.0.18.0",268435456,0
pk,"A=15.18.6.10|t=1.18.1.0",268435456,4063232
pk,"A=15.4.10.4|t=18.7.9.14",268435456,13378176
pk,"A=15.4.15.9|t=9.2.17.16",268435456,22479528
pk,"A=15.6.15.17|t=9.11.4.1",268435456,9464384
pk,"A=15.7.7.8|t=5.11.16.3",268435456,8964848
pk,"A=15.9.17.1|t=6.6.7.5",268435456,25100304
pk,"A=16.1.2.15|t=2.17.2.0",268435456,13009888
pk,"A=17.14.9.2|t=12.4.7.15",268435456,5821312
pk,"A=17.15.6.9|t=4.12.11.17",268435456,1474560
pk,"A=17.4.6.18|t=15.13.0.16",268435456,2592896
pk,"A=17.6.5.9|t=2.12.18.1",268435456,10480640
pk,"A=18.10.18.15|t=5.8.16.14",268435456,33510616
pk,"A=18.13.6.2|t=6.0.12.17",268435456,23929232
pk,"A=18.17.3.12|t=18.8.15.5",268435456,11834816
pk,"A=18.18.16.11|t=18.15.12.0",268435456,7696256
pk,"A=18.7.16.8|t=10.18.8.18",268435456,9034528
pk,"A=18.9.6.18|t=17.5.8.17",268435456,30052688
pk,"A=2.0.13.3|t=4.11.4.4",268435456,9955088
pk,"A=2.10.7.16|t=8.15.13.7",268435456,11361600
pk,"A=2.13.6.3|t=15.1.13.6",268435456,2334976
pk,"A=2.14.12.10|t=17.12.17.8",268435456,28927504
pk,"A=2.18.10.11|t=16.11.10.16",268435456,23130656
pk,"A=2.5.12.7|t=11.1.15.15",268435456,31096480
pk,"A=2.6.10.14|t=17.4.2.18",268435456,37505152
pk,"A=2.6.11.18|t=2.7.12.17",268435456,3276800
pk,"A=2.6.2.8|t=14.0.1.14",268435456,12210304
pk,"A=2.8.2.1|t=11.7.10.14",268435456,40177544
pk,"A=2.9.5.3|t=16.3.9.6",268435456,1179648
pk,"A=3.16.18.7|t=11.7.11.14",268435456,19208960
pk,"A=3.2.6.15|t=18.0.18.18",268435456,4194304
pk,"A=3.5.10.10|t=3.6.10.10",268435456,0
pk,"A=4.11.8.13|t=17.7.16.4",268435456,6070656
pk,"A=4.12.11.7|t=17.3.4.15",268435456,29882080
pk,"A=4.16.10.3|t=4.9.1.10",268435456,24838826
pk,"A=4.16.13.12|t=5.2.0.0",268435456,29338944
pk,"A=4.18.11.9|t=1.9.11.5",268435456,7914496
pk,"A=4.2.2.14|t=3.1.14.15",268435456,1471488
pk,"A=4.9.13.6|t=11.6.5.12",268435456,21300560
pk,"A=5.11.3.2|t=10.3.5.16",268435456,25528104
pk,"A=5.12.5.2|t=9.10.4.18",268435456,21306688
pk,"A=5.13.4.17|t=9.6.3.8",268435456,1810432
pk,"A=5.2.11.5|t=9.13.8.3",268435456,5774560
pk,"A=5.3.1.10|t=6.13.17.9",268435456,24700968
pk,"A=5.3.9.17|t=7.12.11.8",268435456,4595232
pk,"A=5.7.17.8|t=9.9.13.2",268435456,1264384
pk,"A=5.8.16.7|t=5.2.7.14",268435456,10842848
pk,"A=6.10.18.9|t=4.14.16.1",268435456,14066912
pk,"A=6.11.5.14|t=17.8.5.3",268435456,17724680
pk,"A=6.12.18.0|t=0.18.18.0",268435456,0
pk,"A=6.14.17.3|t=5.10.12.15",268435456,7731680
pk,"A=6.2.0.4|t=14.13.11.11",268435456,19555168
pk,"A=6.3.5.8|t=7.8.0.13",268435456,18561136
pk,"A=6.7.7.2|t=15.9.16.7",268435456,12441208
pk,"A=7.11.17.12|t=17.16.16.18",268435456,19574832
pk,"A=7.16.0.7|t=0.11.7.17",268435456,1572864
pk,"A=7.16.9.3|t=7.4.5.6",268435456,6136992
pk,"A=7.18.15.16|t=17.15.5.12",268435456,14203648
pk,"A=8.0.7.18|t=7.0.12.18",268435456,9693184
pk,"A=8.1.9.1|t=9.8.7.10",268435456,9188864
pk,"A=8.13.17.5|t=15.11.13.6",268435456,10970712
pk,"A=8.15.2.7|t=6.2.15.18",268435456,30374552
pk,"A=8.15.3.15|t=0.4.6.7",268435456,33517996
pk,"A=8.2.12.6|t=16.7.8.1",268435456,38864272
pk,"A=8.3.12.7|t=13.3.13.0",268435456,17229744
pk,"A=8.3.9.8|t=11.12.17.1",268435456,4276248
pk,"A=8.4.9.7|t=1.1.1.0",268435456,4063232
pk,"A=8.5.3.14|t=10.9.0.5",268435456,13979048
pk,"A=8.6.12.5|t=3.0.18.7",268435456,13811710
pk,"A=8.9.14.7|t=15.8.11.10",268435456,2596864
pk,"A=9.1.17.15|t=10.18.14.6",268435456,5863552
pk,"A=9.11.2.11|t=1.13.13.2",268435456,565248
pk,"A=9.11.9.3|t=0.8.7.0",268435456,28918656
pk,"A=9.12.11.1|t=16.10.18.17",268435456,32456096
pk,"A=9.13.10.4|t=15.8.12.9",268435456,6584320
pk,"A=9.17.6.15|t=12.15.17.4",268435456,10223040
pk,"A=9.8.16.16|t=17.8.10.18",268435456,13447248
pk,"A=9.9.10.14|t=9.4.4.13",268435456,5534208
