rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1602,-3:-2:1;4:-7:1;,301,5776,527459266,141466087,4.262235350127469,1.898603439371277
1603,-3:-2:1;4:-8:1;,2409,46208,603008624,161742669,4.2616363486487,1.8984783117224244
1604,-3:-4:1;0:-4:1;,1205,23104,2111223304,566334335,4.261037595769847,1.8983532770739548
1605,-3:-4:1;0:4:1;,2411,46208,4223832848,1133138657,4.260439091284645,1.8982283353217542
1606,-3:-6:1;4:2:1;,603,11552,1056304772,283402161,4.259840834987086,1.898103486361865
1607,-3:-7:1;4:2:1;,1207,23104,2113995784,567274309,4.25864506613215,1.8978540664039707
1608,-3:-8:1;4:2:1;,2415,46208,4229377808,1135018605,4.258047553164036,1.897729495198828
1609,-3:1:1;-2:-2:1;,2417,46208,4232150288,1135958579,4.256853269121589,1.8974806298194695
1610,-3:1:1;2:2:1;,2419,46208,71778352,19269467,4.255659972907246,1.897232133127574
1611,-3:2:1;-2:1:1;,2421,46208,4237695248,1137838527,4.254467662888235,1.8969840043007693
1612,-3:2:1;2:-1:1;,2423,46208,605781104,162682643,4.253276337435825,1.896736242519137
1613,-3:2:1;4:6:1;,303,5776,530231746,142406061,4.25268104341422,1.8966124990147049
1614,-3:2:1;4:7:1;,1213,23104,2122313224,570094231,4.251491191766661,1.8963652862688327
1615,-3:2:1;4:8:1;,2427,46208,4246012688,1140658449,4.250896633736037,1.8962418168239372
1616,-3:4:1;0:-4:1;,607,11552,1061849732,285282109,4.250302320631489,1.8961184385290175
1617,-3:4:1;0:4:1;,2429,46208,4248785168,1141598423,4.249708252251306,1.8959951512827253
1618,-3:6:1;4:-2:1;,1215,23104,303583672,81576315,4.249114428394027,1.8958719549838614
1619,-3:7:1;4:-2:1;,1,19,13989947,3759896,4.247927513443585,1.8956258348243797
1620,-3:8:1;4:-2:1;,2433,46208,4254330128,1143478371,4.247334421948742,1.895502910762117
1621,-4:-2:1;-3:-6:1;,1217,23104,2127858184,571974179,4.246741574173442,1.8953800772439928
1622,-4:-2:1;-3:-7:1;,609,11552,1064622212,286222083,4.245556608980839,1.8951346814385166
1623,-4:-2:1;-3:-8:1;,2437,46208,608553584,163622617,4.24496449116383,1.8950121189507152
1624,-4:-2:1;3:6:1;,1219,23104,2130630664,572914153,4.244372616266959,1.8948896466061536
1625,-4:-2:1;3:7:1;,305,5776,533004226,143346035,4.243189594436922,1.8946449719474847
1626,-4:-2:1;3:8:1;,2441,46208,4265420048,1147238267,4.242598447106017,1.8945227694341151
1627,-4:-3:1;5:4:1;,2443,46208,4268192528,1148178241,4.241416878619915,1.8942786335422566
1628,-4:-6:1;-3:2:1;,611,11552,11729612,3155627,4.240826457068441,1.8941566999653894
1629,-4:-6:1;3:-2:1;,2445,46208,4270965008,1149118215,4.2402362770475746,1.8940348558358897
1630,-4:-7:1;-3:2:1;,2447,46208,4273737488,1150058189,4.239056640807782,1.8937914355238485
1631,-4:-7:1;3:-2:1;,2449,46208,4276509968,1150998163,4.237877968323193,1.893548371817306
1632,-4:-8:1;-3:2:1;,1225,23104,2138948104,575734075,4.237288992997239,1.8934269734452251
1633,-4:-8:1;3:-2:1;,129,2432,32175056,8661189,4.236700258020331,1.893305663929764
1634,-4:2:1;-3:6:1;,613,11552,1070167172,288102031,4.23611176319639,1.893184443172973
1635,-4:2:1;-3:7:1;,1227,23104,2141720584,576674049,4.234935493224266,1.8929422675443248
1636,-4:2:1;-3:8:1;,2455,46208,4284827408,1153818085,4.234347717685115,1.8928213124772901
1637,-4:2:1;3:-6:1;,307,5776,535776706,144286009,4.233760181516992,1.8927004457785699
1638,-4:2:1;3:-7:1;,1229,23104,306356152,82516289,4.2325858265145095,1.8924589770972968
1639,-4:2:1;3:-8:1;,2459,46208,4290372368,1155698033,4.231999007291089,1.8923383749207145
1640,-4:6:1;-3:-2:1;,615,11552,1072939652,289042005,4.231412426660569,1.8922178607243862
1641,-4:6:1;3:2:1;,2461,46208,4293144848,1156638007,4.230826084429011,1.892097434411654
1642,-4:7:1;-3:-2:1;,2463,46208,4295917328,1157577981,4.22965411438821,1.8918568450510533
1643,-4:7:1;3:2:1;,2465,46208,614098544,165502565,4.228483095621897,1.8916166060684847
1644,-4:8:1;-3:-2:1;,1233,23104,2150038024,579493971,4.227897942484332,1.8914966177288217
1645,-4:8:1;3:2:1;,2467,46208,4301462288,1159457929,4.227313026587048,1.8913767166957804
1646,-5:-4:1;-4:-3:1;,2469,46208,4304234768,1160397903,4.226143905744389,1.8911371761670277
1647,-5:-4:1;4:3:1;,2471,46208,4307007248,1161337877,4.224975731558387,1.890897983718558
1648,-8:7:1;-1:0:1;,2473,46208,4309779728,1162277851,4.223808502497233,1.89065913858894
1649,-8:7:1;1:0:1;,2475,46208,4312552208,1163217825,4.222642217032837,1.8904206400189718
1650,-8:9:1;-2:3:1;,2477,46208,4315324688,1164157799,4.221476873640808,1.8901824872516706
1651,-8:9:1;2:-3:1;,2479,46208,616871024,166442539,4.220312470800449,1.889944679532267
1652,-9:6:1;-2:-9:1;,155,2888,269967713,72847985,4.219730621612934,1.8898259048302644
1653,-9:6:1;2:9:1;,2481,46208,4320869648,1166037747,4.21914900699474,1.8897072161081958
1654,-9:8:1;0:-1:1;,2483,46208,332587856,89767517,4.21798648071033,1.8894700962290873
1655,-9:8:1;0:1:1;,2485,46208,4326414608,1167917695,4.216824890437523,1.889233319146761
