rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
4668,-7:-8:1;0:7:1;,2699,9248,3636951712,2079916875,1.7767164210338273,0.8062038997495417
4669,-7:2:1;-5:-6:1;,5399,18496,7274936888,4160604375,1.776449181051422,0.8061416208991952
4670,-7:2:1;5:6:1;,675,2312,909496294,520171875,1.7761819905624856,0.8060793624279884
4671,-7:6:1;-4:5:1;,5401,18496,7277003816,4162145625,1.7759148495486885,0.8060171243258615
4672,-7:6:1;4:-5:1;,2701,9248,727803728,416291625,1.7756477579917116,0.8059549065827628
4673,-8:-4:1;-3:6:1;,5403,18496,7279070744,4163686875,1.7753807158732466,0.8058927091886459
4674,-8:-4:1;3:-6:1;,1351,4624,1820026052,1041114375,1.7751137231749943,0.8058305321334718
4675,-8:4:1;-3:-6:1;,5405,18496,7281137672,4165228125,1.7748467798786662,0.805768375407208
4676,-8:4:1;3:6:1;,159,544,214181504,122529375,1.774579885965984,0.8057062389998286
4677,0:-7:1;7:8:1;,5407,18496,291328184,166670775,1.7743130414186794,0.8056441229013143
4678,0:7:1;7:8:1;,169,578,455264879,260471250,1.7740462462184945,0.8055820271016525
4679,3:-6:1;8:4:1;,5409,18496,7285271528,4168310625,1.773779500347181,0.8055199515908372
4680,3:6:1;8:-4:1;,2705,9248,3643152496,2084540625,1.7735128037865011,0.8054578963588688
4681,4:-5:1;7:-6:1;,5411,18496,7287338456,4169851875,1.7732461565182274,0.8053958613957549
4682,5:6:1;7:-2:1;,1353,4624,364418596,208531125,1.772979558524142,0.8053338466915089
4683,-1:-8:1;8:7:1;,10827,36992,1619981986,927061875,1.77257975388229,0.8052402334659681
4684,-8:-7:1;-1:-8:1;,5415,18496,383761366,219628125,1.7721800600049895,0.8051466660340124
4685,-8:-7:1;1:8:1;,10833,36992,14586025942,8348180625,1.7717804768308827,0.8050531443618517
