rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
17609,A=7.15|t=0.0|e=0.1,3031,4624,3069103126,2335764375,0.6093475457163497,0.39392237636559724
17610,A=7.15|t=0.0|e=0.16,6063,9248,142762532,108658125,0.6091095753997874,0.39382133674703884
17611,A=7.15|t=0.0|e=1.0,379,578,12278743,9346140,0.608871644329587,0.3937203233795551
17612,A=7.15|t=0.0|e=16.0,6065,9248,6139954124,4673840625,0.6086337524928062,0.3936193362526698
17613,A=7.16|t=0.0|e=0.1,3033,4624,3070268374,2337305625,0.608395899876508,0.39351837535591183
17614,A=7.16|t=0.0|e=0.16,6067,9248,6141119372,4675381875,0.6081580864677624,0.3934174406788161
17615,A=7.16|t=0.0|e=1.0,1517,2312,1535425499,1169038125,0.6079203122536453,0.3933165322109231
17616,A=7.16|t=0.0|e=16.0,21,32,4250716,3236625,0.6076825772212398,0.39321564994177916
17617,A=7.1|t=0.0|e=0.1,3035,4624,3071433622,2338846875,0.6074448813576344,0.3931147938609355
17618,A=7.1|t=0.0|e=0.16,6071,9248,6143449868,4678464375,0.6072072246499246,0.39301396395795035
17619,A=7.1|t=0.0|e=1.0,759,1156,1536008123,1169808750,0.6069696070852125,0.3929131602223865
17620,A=7.1|t=0.0|e=16.0,6073,9248,6144615116,4680005625,0.6067320286506058,0.392812382643813
17621,A=7.2|t=0.0|e=0.1,3037,4624,614519774,468077625,0.6064944893332193,0.39271163121180447
17622,A=7.2|t=0.0|e=0.16,6075,9248,6145780364,4681546875,0.6062569891201731,0.39261090591594106
17623,A=7.2|t=0.0|e=1.0,1519,2312,1536590747,1170579375,0.6060195279985954,0.3925102067458084
17624,A=7.2|t=0.0|e=16.0,6077,9248,6146945612,4683088125,0.6057821059556193,0.39240953369099835
17625,A=7.3|t=0.0|e=0.1,3039,4624,3073764118,2341929375,0.6055447229783844,0.392308886741108
17626,A=7.3|t=0.0|e=0.16,6079,9248,1229622172,936925875,0.6053073790540375,0.3922082658857402
17627,A=7.3|t=0.0|e=1.0,190,289,1537173371,1171350000,0.605070074169731,0.39210767111450334
17628,A=7.3|t=0.0|e=16.0,6081,9248,6149276108,4686170625,0.6048328083126236,0.3920071024170115
17629,A=7.4|t=0.0|e=0.1,3041,4624,3074929366,2343470625,0.604595581469881,0.39190655978288447
17630,A=7.4|t=0.0|e=0.16,6083,9248,6150441356,4687711875,0.6043583936286746,0.3918060432017478
17631,A=7.4|t=0.0|e=1.0,1521,2312,307551199,234424125,0.6041212447761822,0.3917055526632322
17632,A=7.4|t=0.0|e=16.0,6085,9248,6151606604,4689253125,0.603884134899588,0.3916050881569745
17633,A=7.5|t=0.0|e=0.1,179,272,180946742,137941875,0.603647063986083,0.39150464967261706
17634,A=7.5|t=0.0|e=0.16,6087,9248,6152771852,4690794375,0.6034100320228638,0.39140423719980755
17635,A=7.5|t=0.0|e=1.0,761,1156,1538338619,1172891250,0.6031730389971333,0.39130385072819956
17636,A=7.5|t=0.0|e=16.0,6089,9248,246157484,187693425,0.6029360848961015,0.3912034902474521
17637,A=7.6|t=0.0|e=0.1,3045,4624,3077259862,2346553125,0.6026991697069841,0.39110315574723
17638,A=7.6|t=0.0|e=0.16,6091,9248,6155102348,4693876875,0.6024622934170029,0.39100284721720346
17639,A=7.6|t=0.0|e=1.0,1523,2312,1538921243,1173661875,0.6022254560133865,0.3909025646470485
17640,A=7.6|t=0.0|e=16.0,6093,9248,6156267596,4695418125,0.6019886574833697,0.3908023080264465
17641,A=7.7|t=0.0|e=0.1,3047,4624,615685022,469618875,0.6017518978141934,0.3907020773450848
17642,A=7.7|t=0.0|e=0.16,6095,9248,6157432844,4696959375,0.6015151769931043,0.39060187259265566
17643,A=7.7|t=0.0|e=1.0,381,578,1539503867,1174432500,0.6012784950073568,0.3905016937588577
17644,A=7.7|t=0.0|e=16.0,6097,9248,6158598092,4698500625,0.6010418518442102,0.3904015408333943
17645,A=7.8|t=0.0|e=0.1,3049,4624,3079590358,2349635625,0.6008052474909303,0.3903014138059754
17646,A=7.8|t=0.0|e=0.16,6099,9248,1231952668,940008375,0.6005686819347902,0.39020131266631575
17647,A=7.8|t=0.0|e=1.0,1525,2312,1540086491,1175203125,0.6003321551630679,0.3901012374041359
17648,A=7.8|t=0.0|e=16.0,6101,9248,6160928588,4701583125,0.6000956671630482,0.3900011880091618
17649,A=7.9|t=0.0|e=0.1,3051,4624,3080755606,2351176875,0.5998592179220226,0.3899011644711255
17650,A=7.9|t=0.0|e=0.16,359,544,362476108,276654375,0.5996228074272881,0.3898011667797639
17651,A=7.9|t=0.0|e=1.0,763,1156,308133823,235194750,0.5993864356661485,0.38970119492481986
17652,A=7.9|t=0.0|e=16.0,6105,9248,6163259084,4704665625,0.5991501026259132,0.3896012488960417
17653,A=8.0|t=0.0|e=0.1,3053,4624,71672578,54714375,0.5989138082938988,0.3895013286831834
17654,A=8.0|t=0.0|e=0.16,6107,9248,6164424332,4706206875,0.5986775526574274,0.38940143427600443
17655,A=8.0|t=0.0|e=1.0,1527,2312,1541251739,1176744375,0.5984413357038273,0.3893015656642693
17656,A=8.0|t=0.0|e=16.0,6109,9248,1233117916,941549625,0.5982051574204336,0.38920172283774895
17657,A=8.10|t=0.0|e=0.1,3055,4624,3083086102,2354259375,0.597969017794587,0.38910190578621906
17658,A=8.10|t=0.0|e=0.16,6111,9248,6166754828,4709289375,0.5977329168136348,0.38900211449946137
17659,A=8.10|t=0.0|e=1.0,191,289,1541834363,1177515000,0.5974968544649301,0.3889023489672629
17660,A=8.10|t=0.0|e=16.0,6113,9248,6167920076,4710830625,0.5972608307358329,0.38880260917941617
17661,A=8.11|t=0.0|e=0.1,3057,4624,123370054,94232025,0.5970248456137089,0.3887028951257194
17662,A=8.11|t=0.0|e=0.16,6115,9248,6169085324,4712371875,0.5967888990859297,0.388603206795976
17663,A=8.11|t=0.0|e=1.0,1529,2312,1542416987,1178285625,0.5965529911398741,0.38850354417999516
17664,A=8.11|t=0.0|e=16.0,6117,9248,6170250572,4713913125,0.5963171217629262,0.38840390726759144
17665,A=8.12|t=0.0|e=0.1,3059,4624,3085416598,2357341875,0.5960812909424762,0.3883042960485847
17666,A=8.12|t=0.0|e=0.16,6119,9248,1234283164,943090875,0.5958454986659215,0.38820471051280114
17667,A=8.12|t=0.0|e=1.0,45,68,90764683,69356250,0.5956097449206648,0.3881051506500713
17668,A=8.12|t=0.0|e=16.0,6121,9248,6172581068,4716995625,0.595374029694115,0.38800561645023196
17669,A=8.13|t=0.0|e=0.1,3061,4624,3086581846,2358883125,0.5951383529736872,0.3879061079031252
17670,A=8.13|t=0.0|e=0.16,6123,9248,6173746316,4718536875,0.5949027147468035,0.3878066249985986
17671,A=8.13|t=0.0|e=1.0,1531,2312,308716447,235965375,0.5946671150008911,0.38770716772650493
17672,A=8.13|t=0.0|e=16.0,6125,9248,6174911564,4720078125,0.5944315537233835,0.3876077360767029
17673,A=8.14|t=0.0|e=0.1,3063,4624,3087747094,2360424375,0.5941960309017211,0.3875083300390561
17674,A=8.14|t=0.0|e=0.16,6127,9248,6176076812,4721619375,0.5939605465233498,0.38740894960343447
17675,A=8.14|t=0.0|e=1.0,383,578,1544164859,1180597500,0.5937251005757216,0.3873095947597126
17676,A=8.14|t=0.0|e=16.0,6129,9248,1235448412,944632125,0.5934896930462953,0.3872102654977709
17677,A=8.15|t=0.0|e=0.1,3065,4624,3088912342,2361965625,0.593254323922535,0.38711096180749494
17678,A=8.15|t=0.0|e=0.16,6131,9248,6178407308,4724701875,0.5930189931919115,0.38701168367877625
17679,A=8.15|t=0.0|e=1.0,1533,2312,1544747483,1181368125,0.5927837008419012,0.38691243110151136
17680,A=8.15|t=0.0|e=16.0,6133,9248,6179572556,4726243125,0.5925484468599876,0.38681320406560243
17681,A=8.16|t=0.0|e=0.1,3067,4624,618015518,472701375,0.5923132312336593,0.386714002560957
17682,A=8.16|t=0.0|e=0.16,6135,9248,6180737804,4727784375,0.5920780539504114,0.386614826577488
17683,A=8.16|t=0.0|e=1.0,767,1156,1545330107,1182138750,0.5918429149977453,0.3865156761051139
17684,A=8.16|t=0.0|e=16.0,361,544,363641356,278195625,0.5916078143631684,0.38641655113375856
17685,A=8.1|t=0.0|e=0.1,3069,4624,3091242838,2365048125,0.5913727520341939,0.3863174516533512
17686,A=8.1|t=0.0|e=0.16,6139,9248,247322732,189234675,0.5911377279983416,0.3862183776538265
17687,A=8.1|t=0.0|e=1.0,1535,2312,1545912731,1182909375,0.5909027422431371,0.3861193291251249
17688,A=8.1|t=0.0|e=16.0,6141,9248,6184233548,4732408125,0.5906677947561121,0.3860203060571914
17689,A=8.2|t=0.0|e=0.1,3071,4624,3092408086,2366589375,0.5904328855248042,0.38592130843997724
17690,A=8.2|t=0.0|e=0.16,6143,9248,6185398796,4733949375,0.5901980145367578,0.3858223362634388
17691,A=8.2|t=0.0|e=1.0,192,289,309299071,236736000,0.5899631817795227,0.3857233895175375
17692,A=8.2|t=0.0|e=16.0,6145,9248,6186564044,4735490625,0.5897283872406547,0.3856244681922409
17693,A=8.3|t=0.0|e=0.1,3073,4624,3093573334,2368130625,0.5894936309077166,0.3855255722775212
17694,A=8.3|t=0.0|e=0.16,6147,9248,6187729292,4737031875,0.589258912768276,0.38542670176335647
17695,A=8.3|t=0.0|e=1.0,1537,2312,1547077979,1184450625,0.5890242328099073,0.3853278566397299
17696,A=8.3|t=0.0|e=16.0,6149,9248,28785556,22039875,0.5887895910201915,0.38522903689663013
17697,A=8.4|t=0.0|e=0.1,3075,4624,3094738582,2369671875,0.5885549873867143,0.3851302425240515
17698,A=8.4|t=0.0|e=0.16,6151,9248,6190059788,4740114375,0.5883204218970685,0.3850314735119932
17699,A=8.4|t=0.0|e=1.0,769,1156,1547660603,1185221250,0.5880858945388522,0.38493272985046
17700,A=8.4|t=0.0|e=16.0,6153,9248,6191225036,4741655625,0.5878514052996706,0.38483401152946234
17701,A=8.5|t=0.0|e=0.1,181,272,36422398,27896625,0.5876169541671341,0.38473531853901544
17702,A=8.5|t=0.0|e=0.16,6155,9248,6192390284,4743196875,0.587382541128859,0.3846366508691405
17703,A=8.5|t=0.0|e=1.0,1539,2312,1548243227,1185991875,0.5871481661724686,0.3845380085098635
17704,A=8.5|t=0.0|e=16.0,6157,9248,6193555532,4744738125,0.5869138292855912,0.38443939145121636
17705,A=8.6|t=0.0|e=0.1,3079,4624,3097069078,2372754375,0.5866795304558617,0.38434079968323587
17706,A=8.6|t=0.0|e=0.16,6159,9248,9043388,6928875,0.5864452696709206,0.3842422331959642
17707,A=8.6|t=0.0|e=1.0,385,578,1548825851,1186762500,0.5862110469184151,0.3841436919794492
