t_norm2,margin,cumulative_weight,total_weight
50,2,14147264,37748736
50,3,21646336,37748736
50,4,34260864,37748736
50,5,37748736,37748736
52,-4,3840,25165824
52,-3,95488,25165824
52,-2,123648,25165824
52,-1,3026080,25165824
52,1,4408528,25165824
52,2,10474928,25165824
52,3,15842688,25165824
52,4,22977792,25165824
52,5,25165824,25165824
53,-5,512,25165824
53,-4,2048,25165824
53,-3,115712,25165824
53,-2,156672,25165824
53,-1,2548608,25165824
53,1,3990016,25165824
53,2,11673984,25165824
53,3,15927808,25165824
53,4,23200256,25165824
53,5,25165824,25165824
58,-5,512,25165824
58,-4,5632,25165824
58,-3,105984,25165824
58,-2,144896,25165824
58,-1,2459392,25165824
58,1,4013056,25165824
58,2,12169728,25165824
58,3,16012800,25165824
58,4,23250176,25165824
58,5,25165824,25165824
61,-4,1024,25165824
61,-3,140800,25165824
61,-2,166656,25165824
61,-1,3319520,25165824
61,1,4288064,25165824
61,2,9215616,25165824
61,3,15810816,25165824
61,4,22898176,25165824
61,5,25165824,25165824
64,-1,172032,12582912
64,1,274432,12582912
64,2,3633152,12582912
64,3,4882432,12582912
64,4,11300864,12582912
64,5,12582912,12582912
65,-4,6400,50331648
65,-3,147712,50331648
65,-2,196352,50331648
65,-1,4000096,50331648
65,1,5883072,50331648
65,2,20358528,50331648
65,3,27865088,50331648
65,4,45987968,50331648
65,5,50331648,50331648
68,-3,121856,25165824
68,-2,139264,25165824
68,-1,2771296,25165824
68,1,4431968,25165824
68,2,11921312,25165824
68,3,16147968,25165824
68,4,23236992,25165824
68,5,25165824,25165824
72,-5,128,12582912
72,-4,256,12582912
72,-3,52992,12582912
72,-2,64192,12582912
72,-1,1608960,12582912
72,1,2071424,12582912
72,2,4799040,12582912
72,3,7806720,12582912
72,4,11472448,12582912
72,5,12582912,12582912
73,-4,1536,25165824
73,-3,125440,25165824
73,-2,158208,25165824
73,-1,2115552,25165824
73,1,3358112,25165824
73,2,10525664,25165824
73,3,15059456,25165824
73,4,23091200,25165824
73,5,25165824,25165824
74,-4,3840,25165824
74,-3,146944,25165824
74,-2,207360,25165824
74,-1,2706336,25165824
74,1,3882320,25165824
74,2,10692496,25165824
74,3,15592576,25165824
74,4,23112192,25165824
74,5,25165824,25165824
8,-4,10240,12582912
8,-3,34816,12582912
8,-2,106496,12582912
8,-1,1236800,12582912
8,1,2067584,12582912
8,2,5255424,12582912
8,3,7742976,12582912
8,4,11369472,12582912
8,5,12582912,12582912
80,-5,512,25165824
80,-3,36864,25165824
80,-2,39424,25165824
80,-1,736256,25165824
80,1,963072,25165824
80,2,7298304,25165824
80,3,11514368,25165824
80,4,22609920,25165824
80,5,25165824,25165824
85,-5,256,25165824
85,-4,3072,25165824
85,-3,74240,25165824
85,-2,112512,25165824
85,-1,2748928,25165824
85,1,3875040,25165824
85,2,11035328,25165824
85,3,15712768,25165824
85,4,23103808,25165824
85,5,25165824,25165824
89,-4,9216,25165824
89,-3,78336,25165824
89,-2,119808,25165824
89,-1,1370624,25165824
89,1,2082944,25165824
89,2,8263552,25165824
89,3,12756480,25165824
89,4,22803456,25165824
89,5,25165824,25165824
9,-4,3072,12582912
9,-3,19456,12582912
9,-2,78080,12582912
9,-1,892736,12582912
9,1,1799232,12582912
9,2,5036224,12582912
9,3,7410432,12582912
9,4,11417088,12582912
9,5,12582912,12582912
98,-4,5888,12582912
98,-3,44288,12582912
98,-2,93120,12582912
98,-1,1170000,12582912
98,1,1904000,12582912
98,2,6076640,12582912
98,3,7845024,12582912
98,4,11635968,12582912
98,5,12582912,12582912
