feature_value,coordinate,Nz,Eiz
"A=0.12|t=12.6",0,32768,3952
"A=0.12|t=12.6",1,32768,3952
"A=0.12|t=13.0",0,65536,0
"A=0.12|t=13.0",1,65536,0
"A=0.12|t=13.1",0,32768,1088
"A=0.12|t=13.1",1,32768,1088
"A=0.12|t=13.11",0,16384,1640
"A=0.12|t=13.11",1,16384,1640
"A=0.12|t=13.12",0,32768,592
"A=0.12|t=13.12",1,32768,592
"A=0.12|t=13.13",0,16384,0
"A=0.12|t=13.13",1,16384,0
"A=0.12|t=13.16",0,32768,1088
"A=0.12|t=13.16",1,32768,1088
"A=0.12|t=13.4",0,16384,0
"A=0.12|t=13.4",1,16384,0
"A=0.12|t=13.5",0,32768,592
"A=0.12|t=13.5",1,32768,592
"A=0.12|t=13.6",0,16384,1640
"A=0.12|t=13.6",1,16384,1640
"A=0.12|t=16.0",0,131072,4096
"A=0.12|t=16.0",1,131072,4096
"A=0.12|t=16.1",0,65536,4096
"A=0.12|t=16.1",1,65536,4096
"A=0.12|t=16.11",0,32768,4544
"A=0.12|t=16.11",1,32768,4544
"A=0.12|t=16.12",0,65536,3712
"A=0.12|t=16.12",1,65536,3712
"A=0.12|t=16.13",0,32768,1088
"A=0.12|t=16.13",1,32768,1088
"A=0.12|t=16.16",0,65536,4096
"A=0.12|t=16.16",1,65536,4096
"A=0.12|t=16.4",0,32768,1088
"A=0.12|t=16.4",1,32768,1088
"A=0.12|t=16.5",0,65536,3712
"A=0.12|t=16.5",1,65536,3712
"A=0.12|t=16.6",0,32768,4544
"A=0.12|t=16.6",1,32768,4544
"A=0.12|t=4.0",0,65536,0
"A=0.12|t=4.0",1,65536,0
"A=0.12|t=4.1",0,32768,1088
"A=0.12|t=4.1",1,32768,1088
"A=0.12|t=4.11",0,16384,1640
"A=0.12|t=4.11",1,16384,1640
"A=0.12|t=4.12",0,32768,592
"A=0.12|t=4.12",1,32768,592
"A=0.12|t=4.13",0,16384,0
"A=0.12|t=4.13",1,16384,0
"A=0.12|t=4.16",0,32768,1088
"A=0.12|t=4.16",1,32768,1088
"A=0.12|t=4.4",0,16384,0
"A=0.12|t=4.4",1,16384,0
"A=0.12|t=4.5",0,32768,592
"A=0.12|t=4.5",1,32768,592
"A=0.12|t=4.6",0,16384,1640
"A=0.12|t=4.6",1,16384,1640
"A=0.12|t=5.0",0,131072,3072
"A=0.12|t=5.0",1,131072,3072
"A=0.12|t=5.1",0,65536,3712
"A=0.12|t=5.1",1,65536,3712
"A=0.12|t=5.11",0,32768,3952
"A=0.12|t=5.11",1,32768,3952
"A=0.12|t=5.12",0,65536,2400
"A=0.12|t=5.12",1,65536,2400
"A=0.12|t=5.13",0,32768,592
"A=0.12|t=5.13",1,32768,592
"A=0.12|t=5.16",0,65536,3712
"A=0.12|t=5.16",1,65536,3712
"A=0.12|t=5.4",0,32768,592
"A=0.12|t=5.4",1,32768,592
"A=0.12|t=5.5",0,65536,2400
"A=0.12|t=5.5",1,65536,2400
"A=0.12|t=5.6",0,32768,3952
"A=0.12|t=5.6",1,32768,3952
"A=0.12|t=6.0",0,65536,7680
"A=0.12|t=6.0",1,65536,7680
"A=0.12|t=6.1",0,32768,4544
"A=0.12|t=6.1",1,32768,4544
"A=0.12|t=6.11",0,16384,3000
"A=0.12|t=6.11",1,16384,3000
"A=0.12|t=6.12",0,32768,3952
"A=0.12|t=6.12",1,32768,3952
"A=0.12|t=6.13",0,16384,1640
"A=0.12|t=6.13",1,16384,1640
"A=0.12|t=6.16",0,32768,4544
"A=0.12|t=6.16",1,32768,4544
"A=0.12|t=6.4",0,16384,1640
"A=0.12|t=6.4",1,16384,1640
"A=0.12|t=6.5",0,32768,3952
"A=0.12|t=6.5",1,32768,3952
"A=0.12|t=6.6",0,16384,3000
"A=0.12|t=6.6",1,16384,3000
"A=0.13|t=0.0",0,262144,0
"A=0.13|t=0.0",1,262144,0
"A=0.13|t=0.1",0,131072,4096
"A=0.13|t=0.1",1,131072,4096
"A=0.13|t=0.12",0,65536,2048
"A=0.13|t=0.12",1,65536,2048
"A=0.13|t=0.13",0,131072,0
"A=0.13|t=0.13",1,131072,0
