threshold,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status,gain_ci_low,gain_ci_high
0.27586206896551724,10000,0,0,SUPPORTED,-0.13809313174791388,0.20030041824054393
0.28017241379310343,10000,0,0,SUPPORTED,-0.13672357837936955,0.22749416888305196
0.28448275862068967,10000,0,0,SUPPORTED,-0.14432053751467702,0.24817242714348367
0.28879310344827586,10000,0,0,SUPPORTED,-0.14622490432562332,0.26971534111981105
0.29310344827586204,10000,0,0,SUPPORTED,-0.18039203023649278,0.2634948946022041
0.29741379310344829,10000,0,0,SUPPORTED,-0.19754244508236532,0.27194915256665347
0.30172413793103448,10000,0,0,SUPPORTED,-0.26407354885780432,0.24347411616324618
0.30603448275862066,10000,0,0,SUPPORTED,-0.29762902208378555,0.24631925729492377
0.31034482758620691,10000,0,0,SUPPORTED,-0.36653965234898511,0.22211077587031663
0.31465517241379309,10000,0,0,SUPPORTED,-0.41423854612996625,0.212428990086241
0.31896551724137934,10000,0,0,SUPPORTED,-0.48371607080366319,0.19645371606561093
0.32327586206896552,10000,0,0,SUPPORTED,-0.54920062466274144,0.17324194630167833
0.32758620689655171,10000,0,0,SUPPORTED,-0.64906394786964927,0.13524802752327947
0.33189655172413796,10000,0,0,SUPPORTED,-0.75181077726265422,0.077390424151011647
0.33620689655172414,10000,0,0,SUPPORTED,-0.86812372504071977,0.049817817230461477
0.34051724137931033,10000,0,0,SUPPORTED,-0.98289726511339026,0.045524210088160724
0.34482758620689657,10000,0,0,SUPPORTED,-1.1293943535904096,0.084975512631574379
0.34913793103448276,10000,0,0,SUPPORTED,-1.29157500862302,0.16229904048013202
0.35344827586206895,10000,0,0,SUPPORTED,-1.4354553664535268,0.23325003330160365
0.35775862068965519,10000,0,0,SUPPORTED,-1.6098388380976245,0.3440498505004701
0.36206896551724138,10000,0,0,SUPPORTED,-1.815747529617336,0.50981359408659144
0.36637931034482757,10000,0,0,SUPPORTED,-1.9408560692685757,0.55126337734279696
0.37068965517241381,10000,0,0,SUPPORTED,-1.9049015805595544,0.70108190108600521
0.375,10000,0,0,SUPPORTED,-1.8492350840894263,0.91956912857725681
0.37931034482758619,10000,0,0,SUPPORTED,-1.6982422472483321,1.2415515170478417
0.38362068965517243,10000,0,0,SUPPORTED,-1.4393658923898172,1.3696326580685463
0.38793103448275862,10000,0,0,SUPPORTED,-1.4599833366692954,1.5657816307295447
0.39224137931034481,9997,3,0.00029999999999999997,SUPPORTED,-1.4775414407379703,1.8374537587334996
0.39655172413793105,9990,10,0.001,SUPPORTED,-2.7345145140667673,2.7340734902859931
0.40086206896551724,9934,66,0.0066,SUPPORTED,-3.0089406596605874,3.040643581165678
0.40517241379310343,9510,490,0.049000000000000002,SUPPORTED,-inf,2.8230602831496032
0.40948275862068967,6321,3679,0.3679,UNSUPPORTED,2.4627560679279177,2.845749706319852
0.41379310344827586,6321,3679,0.3679,UNSUPPORTED,3.1997216620941238,3.5827153004860581
