threshold,selection_probability,actual_selection_cost_bits,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,gain_ci_low,gain_ci_high,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status
0.125,0.99236413836479187,0.011058494217774127,0.071760690006158256,0.070615666052511128,0.98404385529809058,-0.023205482156996797,-0.054869315822559626,0.0013524182602988296,10000,0,0,SUPPORTED
0.12931034482758622,0.99155804514884949,0.012230865552492207,0.071760690006158256,0.070657749131844902,0.98463029167893024,-0.022345970810481619,-0.054230743398781332,0.0022738440164609742,10000,0,0,SUPPORTED
0.1336206896551724,0.99009096622467041,0.014367013642336411,0.071760690006158256,0.070698461222755707,0.9851976230536329,-0.021514947778130542,-0.053389041510372097,0.0032744798789553957,10000,0,0,SUPPORTED
0.13793103448275862,0.98861327767372131,0.016521812013362717,0.071760690006158256,0.070725545509088092,0.98557504816381603,-0.020962363150408152,-0.053044457557084708,0.0040311424313192049,10000,0,0,SUPPORTED
0.14224137931034483,0.98663315176963806,0.01941433087736294,0.071760690006158256,0.070755917436422372,0.98599828722870897,-0.020342954378287006,-0.0530727806894329,0.0051247050657186226,10000,0,0,SUPPORTED
0.14655172413793102,0.98406505584716797,0.023174400617915241,0.071760690006158256,0.070780168870054436,0.9863362359528639,-0.019848558577317113,-0.053126265218132504,0.0063869063259867119,10000,0,0,SUPPORTED
0.15086206896551724,0.98192068934440613,0.026321593474013038,0.071760690006158256,0.070814740782537342,0.98681800267612063,-0.019144059696578553,-0.053297811132551491,0.0077630074945934553,10000,0,0,SUPPORTED
0.15517241379310345,0.97861352562904358,0.031188872178644422,0.071760690006158256,0.07077288940050612,0.98623479504492828,-0.019996941872672497,-0.055682873955699902,0.0086467530521628973,10000,0,0,SUPPORTED
0.15948275862068967,0.97619339823722839,0.034761099724723639,0.071760690006158256,0.070788465560323532,0.9864518520411204,-0.019679459059349928,-0.055845918581287658,0.0095132136044541547,10000,0,0,SUPPORTED
0.16379310344827586,0.97226405143737793,0.040579914836997882,0.071760690006158256,0.070779707394415955,0.98632980519476443,-0.019857964754161829,-0.056640413101754848,0.010390256970458497,10000,0,0,SUPPORTED
0.16810344827586207,0.96817025542259216,0.046667323156574986,0.071760690006158256,0.070772038747820454,0.98622294102449459,-0.020014282407966866,-0.057528156857674172,0.010764082668743543,10000,0,0,SUPPORTED
0.17241379310344829,0.96247544884681702,0.055178354482010999,0.071760690006158256,0.070684914787927045,0.98500885069334065,-0.021791407075684232,-0.060168626120801524,0.010409118708157831,10000,0,0,SUPPORTED
0.17672413793103448,0.95463070273399353,0.066985357942284177,0.071760690006158256,0.070638239121872864,0.98435841567034732,-0.022744382614823609,-0.063021765160917939,0.011168508330261222,10000,0,0,SUPPORTED
0.18103448275862069,0.94478660821914673,0.081939579340217131,0.071760690006158256,0.070726214263997611,0.98558436740126287,-0.020948721617873173,-0.062662271957147797,0.014520037386007949,10000,0,0,SUPPORTED
0.18534482758620691,0.93195986747741699,0.10166026472661438,0.071760690006158256,0.070712924462119103,0.98539917127400478,-0.021219836551032843,-0.065272826305744019,0.016526346073864676,10000,0,0,SUPPORTED
0.18965517241379309,0.91593039035797119,0.12669013554043379,0.071760690006158256,0.070794613739013496,0.98653752817786655,-0.019554162350788662,-0.065563488995590502,0.020930287980682586,10000,0,0,SUPPORTED
0.19396551724137931,0.89789232611656189,0.15538564534566188,0.071760690006158256,0.070828201187690329,0.98700557619515772,-0.018869859520404493,-0.06796028529156023,0.024905304469836714,10000,0,0,SUPPORTED
