rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
14154,A=4.13|t=7.16,6141,9248,1,1,0.5906677947561121,0.0
14155,A=4.13|t=8.0,24567,36992,1,1,0.5904916092468391,0.0
14156,A=4.13|t=8.1,49137,73984,1,1,0.5904035245601255,0.0
14157,A=4.13|t=8.16,12285,18496,1,1,0.5903154452511516,0.0
14158,A=4.13|t=9.0,24573,36992,1,1,0.5901393027637966,0.0
14159,A=4.13|t=9.1,49149,73984,1,1,0.5900512395841028,0.0
14160,A=4.13|t=9.16,192,289,1,1,0.5899631817795227,0.0
14161,A=4.14|t=0.0,3073,4624,1,1,0.5894936309077166,0.0
14162,A=4.14|t=0.1,6147,9248,1,1,0.589258912768276,0.0
14163,A=4.14|t=0.10,24589,36992,1,1,0.5892002391996936,0.0
14164,A=4.14|t=0.11,49179,73984,1,1,0.5891709033102106,0.0
14165,A=4.14|t=0.16,49187,73984,1,1,0.588936237666542,0.0
14166,A=4.14|t=0.6,12297,18496,1,1,0.5889069071447438,0.0
14167,A=4.14|t=0.7,24595,36992,1,1,0.5888482478899884,0.0
14168,A=4.14|t=0.8,49191,73984,1,1,0.588818919156982,0.0
14169,A=4.14|t=0.9,6149,9248,1,1,0.5887895910201915,0.0
14170,A=4.14|t=1.0,3075,4624,1,1,0.5885549873867143,0.0
14171,A=4.14|t=1.1,12301,18496,1,1,0.5884376998746876,0.0
14172,A=4.14|t=1.10,6151,9248,1,1,0.5883204218970685,0.0
14173,A=4.14|t=1.11,24605,36992,1,1,0.5882617864831771,0.0
14174,A=4.14|t=1.16,24607,36992,1,1,0.5881445228042628,0.0
14175,A=4.14|t=1.9,769,1156,1,1,0.5880858945388522,0.0
14176,A=4.14|t=10.0,24609,36992,1,1,0.5880272686558815,0.0
14177,A=4.14|t=10.15,12305,18496,1,1,0.5879686451551566,0.0
14178,A=4.14|t=10.16,6153,9248,1,1,0.5878514052996706,0.0
14179,A=4.14|t=11.0,49225,73984,1,1,0.5878220968244006,0.0
14180,A=4.14|t=11.15,24613,36992,1,1,0.5877927889445222,0.0
14181,A=4.14|t=11.16,12307,18496,1,1,0.5877341749708459,0.0
14182,A=4.14|t=12.2,24615,36992,1,1,0.5876755633784475,0.0
14183,A=4.14|t=12.3,24617,36992,1,1,0.5875583473367119,0.0
14184,A=4.14|t=12.4,12309,18496,1,1,0.5874997428869877,0.0
14185,A=4.14|t=13.12,24619,36992,1,1,0.5874411408177678,0.0
14186,A=4.14|t=13.13,24621,36992,1,1,0.5873239438200683,0.0
14187,A=4.14|t=13.14,12311,18496,1,1,0.5872653488912016,0.0
14188,A=4.14|t=13.2,1539,2312,1,1,0.5871481661724686,0.0
14189,A=4.14|t=13.3,6157,9248,1,1,0.5869138292855912,0.0
14190,A=4.14|t=13.4,12315,18496,1,1,0.5867966751143555,0.0
14191,A=4.14|t=14.12,3079,4624,1,1,0.5866795304558617,0.0
14192,A=4.14|t=14.13,6159,9248,1,1,0.5864452696709206,0.0
14193,A=4.14|t=14.14,12319,18496,1,1,0.5863281535413852,0.0
14194,A=4.14|t=14.2,24639,36992,1,1,0.5862695990416759,0.0
14195,A=4.14|t=14.3,24641,36992,1,1,0.5861524971714096,0.0
14196,A=4.14|t=14.4,12321,18496,1,1,0.5860939498004669,0.0
14197,A=4.14|t=15.12,24643,36992,1,1,0.5860354048053938,0.0
14198,A=4.14|t=15.13,24645,36992,1,1,0.5859183219420859,0.0
14199,A=4.14|t=15.14,12323,18496,1,1,0.5858597840734653,0.0
14200,A=4.14|t=15.6,49293,73984,1,1,0.5858305160298292,0.0
14201,A=4.14|t=15.7,49295,73984,1,1,0.5857719817237844,0.0
14202,A=4.14|t=15.8,3081,4624,1,1,0.5857427154613275,0.0
14203,A=4.14|t=16.0,6163,9248,1,1,0.5855086067320692,0.0
14204,A=4.14|t=16.1,12327,18496,1,1,0.5853915666118664,0.0
14205,A=4.14|t=16.16,1541,2312,1,1,0.5852745359858936,0.0
14206,A=4.14|t=16.6,24657,36992,1,1,0.585216024232762,0.0
14207,A=4.14|t=16.7,24659,36992,1,1,0.5850990078452464,0.0
14208,A=4.14|t=16.8,6165,9248,1,1,0.5850405032104773,0.0
14209,A=4.14|t=2.10,24661,36992,1,1,0.584982000948111,0.0
14210,A=4.14|t=2.11,49323,73984,1,1,0.5849527507065188,0.0
14211,A=4.14|t=2.3,49325,73984,1,1,0.5848942520023954,0.0
14212,A=4.14|t=2.4,49329,73984,1,1,0.5847772617097217,0.0
14213,A=4.14|t=2.5,49331,73984,1,1,0.5847187701207864,0.0
14214,A=4.14|t=2.9,12333,18496,1,1,0.5846895252155851,0.0
14215,A=4.14|t=3.13,1451,2176,1,1,0.5846310371835949,0.0
14216,A=4.14|t=3.14,24669,36992,1,1,0.5845140682325912,0.0
14217,A=4.14|t=3.15,12335,18496,1,1,0.5844555873131935,0.0
14218,A=4.14|t=3.3,771,1156,1,1,0.5843386325856447,0.0
14219,A=4.14|t=3.4,6169,9248,1,1,0.5841047515701547,0.0
14220,A=4.14|t=3.5,12339,18496,1,1,0.5839878252791405,0.0
14221,A=4.14|t=4.13,3085,4624,1,1,0.5838709084638986,0.0
14222,A=4.14|t=4.14,363,544,1,1,0.5836371032545888,0.0
14223,A=4.14|t=4.15,12343,18496,1,1,0.5835202148574504,0.0
14224,A=4.14|t=4.3,24687,36992,1,1,0.5834617742100892,0.0
14225,A=4.14|t=4.4,24689,36992,1,1,0.583344900016823,0.0
14226,A=4.14|t=4.5,12345,18496,1,1,0.5832864664705346,0.0
14227,A=4.14|t=5.13,24691,36992,1,1,0.5832280352908872,0.0
14228,A=4.14|t=5.14,24693,36992,1,1,0.5831111800307479,0.0
14229,A=4.14|t=5.15,12347,18496,1,1,0.583052755949873,0.0
14230,A=4.14|t=6.0,49389,73984,1,1,0.5830235447966504,0.0
14231,A=4.14|t=6.1,49391,73984,1,1,0.5829651242645149,0.0
14232,A=4.14|t=6.2,3087,4624,1,1,0.5829359148855542,0.0
14233,A=4.14|t=7.0,24697,36992,1,1,0.5828774979017269,0.0
14234,A=4.14|t=7.1,24699,36992,1,1,0.5827606710297797,0.0
14235,A=4.14|t=7.2,6175,9248,1,1,0.5827022611412763,0.0
14236,A=4.14|t=8.0,49401,73984,1,1,0.5826730570838087,0.0
14237,A=4.14|t=8.1,49403,73984,1,1,0.5826146507423211,0.0
14238,A=4.14|t=8.2,12351,18496,1,1,0.5825854484582532,0.0
14239,A=4.14|t=9.0,49405,73984,1,1,0.5825562467652712,0.0
14240,A=4.14|t=9.15,24703,36992,1,1,0.5825270456633507,0.0
14241,A=4.14|t=9.16,193,289,1,1,0.5824686452325983,0.0
14242,A=4.15|t=0.0,3089,4624,1,1,0.5820015268730412,0.0
14243,A=4.15|t=0.1,6179,9248,1,1,0.5817680243976767,0.0
14244,A=4.15|t=0.16,1545,2312,1,1,0.581534559708942,0.0
14245,A=4.15|t=1.0,6181,9248,1,1,0.5813011327946088,0.0
14246,A=4.15|t=1.1,12363,18496,1,1,0.5811844334990234,0.0
14247,A=4.15|t=1.10,2909,4352,1,1,0.5811552601500329,0.0
14248,A=4.15|t=1.11,49455,73984,1,1,0.5810969152217731,0.0
14249,A=4.15|t=1.12,3091,4624,1,1,0.5810677436424554,0.0
14250,A=4.15|t=1.16,12365,18496,1,1,0.5809510632233786,0.0
14251,A=4.15|t=1.3,24731,36992,1,1,0.5808927265524224,0.0
14252,A=4.15|t=1.4,24733,36992,1,1,0.5807760602867201,0.0
14253,A=4.15|t=1.5,12367,18496,1,1,0.5807177306915925,0.0
14254,A=4.15|t=10.14,49469,73984,1,1,0.5806885667783763,0.0
