feature_id,feature_value,Nz,Ez
at_norm_pair,"A=118|t=559",268435456,4211712
at_norm_pair,"A=301|t=221",268435456,3096576
at_norm_pair,"A=303|t=3",268435456,0
at_norm_pair,"A=304|t=239",268435456,6348480
at_norm_pair,"A=308|t=57",268435456,5052160
at_norm_pair,"A=309|t=2",268435456,0
at_norm_pair,"A=309|t=294",268435456,4134016
at_norm_pair,"A=314|t=246",268435456,2927616
at_norm_pair,"A=314|t=329",268435456,1079296
at_norm_pair,"A=315|t=423",268435456,229376
at_norm_pair,"A=315|t=709",268435456,458752
at_norm_pair,"A=317|t=309",268435456,0
at_norm_pair,"A=322|t=181",268435456,1114112
at_norm_pair,"A=326|t=392",268435456,1078912
at_norm_pair,"A=335|t=130",268435456,835584
at_norm_pair,"A=339|t=335",268435456,311296
at_norm_pair,"A=350|t=111",268435456,1736704
at_norm_pair,"A=353|t=291",268435456,1638400
at_norm_pair,"A=357|t=235",268435456,1424896
at_norm_pair,"A=362|t=438",268435456,327680
at_norm_pair,"A=363|t=438",268435456,0
at_norm_pair,"A=368|t=420",268435456,1793792
at_norm_pair,"A=369|t=274",268435456,0
at_norm_pair,"A=371|t=153",268435456,5143808
at_norm_pair,"A=375|t=258",268435456,416000
at_norm_pair,"A=376|t=269",268435456,3876608
at_norm_pair,"A=378|t=210",268435456,2052864
at_norm_pair,"A=378|t=318",268435456,2028544
at_norm_pair,"A=380|t=244",268435456,1261568
at_norm_pair,"A=385|t=353",268435456,7512064
at_norm_pair,"A=386|t=386",268435456,0
at_norm_pair,"A=390|t=403",268435456,0
at_norm_pair,"A=395|t=54",268435456,3267232
at_norm_pair,"A=397|t=378",268435456,678400
at_norm_pair,"A=39|t=2",268435456,0
at_norm_pair,"A=405|t=204",268435456,262144
at_norm_pair,"A=410|t=147",268435456,2062464
at_norm_pair,"A=413|t=230",268435456,98304
at_norm_pair,"A=413|t=394",268435456,1474560
at_norm_pair,"A=414|t=139",268435456,3461120
at_norm_pair,"A=445|t=294",268435456,999424
at_norm_pair,"A=447|t=103",268435456,2334720
at_norm_pair,"A=447|t=2",268435456,0
at_norm_pair,"A=465|t=170",268435456,2723840
at_norm_pair,"A=465|t=213",268435456,3107328
at_norm_pair,"A=483|t=51",268435456,32768
at_norm_pair,"A=492|t=509",268435456,131072
at_norm_pair,"A=493|t=175",268435456,0
at_norm_pair,"A=497|t=3",268435456,0
at_norm_pair,"A=509|t=528",268435456,0
at_norm_pair,"A=525|t=533",268435456,0
at_norm_pair,"A=540|t=239",268435456,1121152
at_norm_pair,"A=54|t=20",268435456,2245248
at_norm_pair,"A=552|t=267",268435456,2391680
at_norm_pair,"A=559|t=226",268435456,32768
at_norm_pair,"A=610|t=307",268435456,1097728
at_norm_pair,"A=67|t=70",268435456,196608
at_norm_pair,"A=85|t=70",268435456,491520
at_norm_pair,"A=86|t=102",268435456,98304
