dataset,statistic,quintile,margin,conditional_cdf
n4q29d43,S_u1,2,-1,0.0052418889125692321
n4q29d43,S_u1,2,1,0.01891995216602884
n4q29d43,S_u1,2,2,0.071448204807191454
n4q29d43,S_u1,2,3,0.17939223486114567
n4q29d43,S_u1,2,4,0.50954605915498719
n4q29d43,S_u1,2,5,0.7483899863132949
n4q29d43,S_u1,2,6,0.92172410153359474
n4q29d43,S_u1,2,7,0.99720841254780379
n4q29d43,S_u1,2,8,1
n4q29d43,S_u1,3,-4,2.6287760209590612e-05
n4q29d43,S_u1,3,-3,0.00011273656368491098
n4q29d43,S_u1,3,-2,0.00073703817244352189
n4q29d43,S_u1,3,-1,0.0045889143599702016
n4q29d43,S_u1,3,1,0.019504892760324681
n4q29d43,S_u1,3,2,0.074083757273192219
n4q29d43,S_u1,3,3,0.18080758574701999
n4q29d43,S_u1,3,4,0.50552891444060721
n4q29d43,S_u1,3,5,0.74972284411225776
n4q29d43,S_u1,3,6,0.93827344643424193
n4q29d43,S_u1,3,7,0.99793790028959373
n4q29d43,S_u1,3,8,1
n4q29d43,S_u1,4,-5,1.2281692908550515e-06
n4q29d43,S_u1,4,-4,3.607747291886714e-05
n4q29d43,S_u1,4,-3,0.00024294723784726486
n4q29d43,S_u1,4,-2,0.0017851440642578174
n4q29d43,S_u1,4,-1,0.0084173877683549909
n4q29d43,S_u1,4,1,0.024728936800711109
n4q29d43,S_u1,4,2,0.083156038380674147
n4q29d43,S_u1,4,3,0.20813459849082941
n4q29d43,S_u1,4,4,0.51306337453689377
n4q29d43,S_u1,4,5,0.76829318024339055
n4q29d43,S_u1,4,6,0.9518674744346487
n4q29d43,S_u1,4,7,0.99887143251003452
n4q29d43,S_u1,4,8,1
n4q29d43,S_u1,5,-5,3.0489440896828609e-06
n4q29d43,S_u1,5,-4,2.7288049602661605e-05
n4q29d43,S_u1,5,-3,0.0002013065335213109
n4q29d43,S_u1,5,-2,0.0012031514495899781
n4q29d43,S_u1,5,-1,0.0059387273429153519
n4q29d43,S_u1,5,1,0.026571635875126225
n4q29d43,S_u1,5,2,0.090134746851364966
n4q29d43,S_u1,5,3,0.21576960296211778
n4q29d43,S_u1,5,4,0.53346780446169706
n4q29d43,S_u1,5,5,0.76630646207954867
n4q29d43,S_u1,5,6,0.94537757843127601
n4q29d43,S_u1,5,7,0.99845728654547283
n4q29d43,S_u1,5,8,1
n4q19d43,S_u1,1,-5,4.587096551366847e-06
n4q19d43,S_u1,1,-4,0.00010759439705044295
n4q19d43,S_u1,1,-3,0.00094962173992349801
n4q19d43,S_u1,1,-2,0.0064491120325478784
n4q19d43,S_u1,1,-1,0.033908528117417798
n4q19d43,S_u1,1,1,0.13032742476474435
n4q19d43,S_u1,1,2,0.34752064685675615
n4q19d43,S_u1,1,3,0.74132167854304476
n4q19d43,S_u1,1,4,0.95178756385803354
n4q19d43,S_u1,1,5,1
n4q19d43,S_u1,2,-5,3.0471837873185072e-05
n4q19d43,S_u1,2,-4,0.00030831260886674423
n4q19d43,S_u1,2,-3,0.0017088614591109529
n4q19d43,S_u1,2,-2,0.010309492488375491
n4q19d43,S_u1,2,-1,0.049707260410427626
n4q19d43,S_u1,2,1,0.18032946514063566
n4q19d43,S_u1,2,2,0.44197228932487881
n4q19d43,S_u1,2,3,0.83395881396978011
n4q19d43,S_u1,2,4,0.97877202206985026
n4q19d43,S_u1,2,5,1
n4q19d43,S_u1,3,-5,1.7079911410212539e-05
n4q19d43,S_u1,3,-4,0.0001821424030930383
n4q19d43,S_u1,3,-3,0.0015862132291785483
n4q19d43,S_u1,3,-2,0.010575375245653683
n4q19d43,S_u1,3,-1,0.049625853749582657
n4q19d43,S_u1,3,1,0.18239574708674264
n4q19d43,S_u1,3,2,0.44966593865980953
n4q19d43,S_u1,3,3,0.83752188572507047
n4q19d43,S_u1,3,4,0.98053683468082697
n4q19d43,S_u1,3,5,1
n4q19d43,S_u1,4,-5,1.2053549065771678e-05
n4q19d43,S_u1,4,-4,0.00021939024695687021
n4q19d43,S_u1,4,-3,0.0018775652926664328
n4q19d43,S_u1,4,-2,0.012430917118544308
n4q19d43,S_u1,4,-1,0.058392930180110547
n4q19d43,S_u1,4,1,0.19956020903074986
n4q19d43,S_u1,4,2,0.47224416745686554
n4q19d43,S_u1,4,3,0.84376773223701151
n4q19d43,S_u1,4,4,0.98641373075834826
n4q19d43,S_u1,4,5,1
n4q19d43,S_u1,5,-5,3.1836403866608001e-05
n4q19d43,S_u1,5,-4,0.0004237094976869551
