dataset,statistic,quintile,quintile_probability,score_min,score_max,mean_margin,median_margin,failure_probability
e0,S_1sum,2,0.24749024599068717,0.23529411764705882,0.29411764705882354,3.4693039902471314,4,0.055203355604544611
e0,S_1sum,3,0.18610308162068825,0.35294117647058826,0.41176470588235292,2.2911631651897162,2,0.13400133824163787
e0,S_1sum,4,0.26245280863092019,0.47058823529411764,0.52941176470588236,3.1401169643466051,4,0.062482108122364245
e0,S_1sum,5,0.18193679862368892,0.58823529411764708,0.94117647058823528,2.6817809633022529,3,0.10642144912504566
e0,E_u_1_4,2,0.56401384083044981,0,0,3.3968755803956574,4,0.073268024467983126
e0,E_u_1_4,4,0.34256055363321797,0.5,0.5,2.6846154338181623,3,0.096276870881668239
e0,E_u_1_4,5,0.093425605536332182,1,1,2.6901123612015336,3,0.075685571741174767
e0,E_v_1_4,1,0.13294850913711073,-1,-1,3.6331101034458655,4,0.020791038398241167
e0,E_v_1_4,2,0.42068386407871972,-0.5,-0.5,3.109921988897189,4,0.069813203589687983
e0,E_v_1_4,4,0.44636762678416952,-0,-0,2.9024125400986023,3,0.11031799729364006
e0,E_sum_1_4,1,0.08397550483888408,-2,-1.5,3.005071085100925,4,0.048831553586069179
e0,E_sum_1_4,2,0.27000284689932957,-1,-1,3.0839359966741156,4,0.065260114340959449
e0,E_sum_1_4,3,0.41331930721507354,-0.5,-0.5,3.0006298360241934,4,0.082804435435452309
e0,E_sum_1_4,5,0.23270234104671281,-0,-0,3.2728998765701007,4,0.10928152000290424
e0,E_u_3_8,3,0.83391003460207613,0,0,3.1398386025329845,4,0.076649012901970959
e0,E_u_3_8,5,0.16608996539792387,0.5,1,2.8208245436350503,3,0.10510826110839844
e0,E_v_3_8,1,0.13294850913711073,-1,-1,3.6331101034458655,4,0.020791038398241167
e0,E_v_3_8,2,0.42068386407871972,-0.5,-0.5,3.109921988897189,4,0.069813203589687983
e0,E_v_3_8,4,0.44636762678416952,-0,-0,2.9024125400986023,3,0.11031799729364006
e0,E_sum_3_8,1,0.20901468138381271,-2,-1,3.3545663646665411,4,0.049376338501504781
e0,E_sum_3_8,3,0.41891637887921712,-0.5,-0.5,3.0644010336975103,4,0.07648524697273941
e0,E_sum_3_8,5,0.37206893973697014,-0,-0,2.9617418883346698,3,0.10485827201839093
e0,B_u_mean,1,0.27335640138408307,-0.5,-0.5,4.1427466477019879,4,0.016411600233633306
e0,B_u_mean,2,0.16608996539792387,-0.47058823529411764,-0.44117647058823528,2.7069005966186523,3,0.13233931859334311
e0,B_u_mean,3,0.1453287197231834,-0.41176470588235292,-0.41176470588235292,2.5317909604027156,3,0.082686651320684521
e0,B_u_mean,4,0.15570934256055363,-0.38235294117647056,-0.38235294117647056,2.8492240058051217,4,0.12681935628255209
e0,B_u_mean,5,0.25951557093425603,-0.35294117647058826,-0.26470588235294118,2.6712288920084637,3,0.089187927246093757
e0,B_v_mean,1,0.26581676443555363,0.38235294117647056,0.41176470588235292,2.8972725235890282,4,0.088375531130525431
e0,B_v_mean,3,0.41262722345371972,0.44117647058823528,0.44117647058823528,3.2000396347081042,4,0.056518198057099574
e0,B_v_mean,4,0.16449840506055363,0.47058823529411764,0.47058823529411764,2.0952043019864011,2,0.17053095021671699
e0,B_v_mean,5,0.15705760705017302,0.5,0.5,4.1489790752275217,5,0.041456726424837026
e0,B_sum,1,0.23778702890996703,-1,-0.94117647058823528,4.050572272995085,4,0.027817686645549785
e0,B_sum,2,0.23662453621729024,-0.91176470588235292,-0.88235294117647056,3.0389915892509136,4,0.095218921797928707
e0,B_sum,3,0.12998027867511894,-0.8529411764705882,-0.8529411764705882,2.5746144915903475,3,0.11418531213162326
e0,B_sum,4,0.24788269782148842,-0.82352941176470584,-0.79411764705882348,2.6724895947697855,3,0.097457770170427352
e0,B_sum,5,0.14772545837613538,-0.76470588235294112,-0.6470588235294118,2.7582720791906516,3,0.089558405464658208
e0,B_u_low_1_4,3,1,0,0,3.0868535685291754,4,0.081375808451827417
e0,B_v_low_1_4,3,1,0,0,3.0868535685291754,4,0.081375808451827417
e0,B_sum_low_1_4,3,1,0,0,3.0868535685291754,4,0.081375808451827417
e0,B_u_low_3_8,2,0.56401384083044981,0,0,3.3968755803956574,4,0.073268024467983126
e0,B_u_low_3_8,4,0.34256055363321797,0.5,0.5,2.6846154338181623,3,0.096276870881668239
e0,B_u_low_3_8,5,0.093425605536332182,1,1,2.6901123612015336,3,0.075685571741174767
e0,B_v_low_3_8,3,1,0,0,3.0868535685291754,4,0.081375808451827417
e0,B_sum_low_3_8,2,0.56401384083044981,0,0,3.3968755803956574,4,0.073268024467983126
e0,B_sum_low_3_8,4,0.34256055363321797,0.5,0.5,2.6846154338181623,3,0.096276870881668239
e0,B_sum_low_3_8,5,0.093425605536332182,1,1,2.6901123612015336,3,0.075685571741174767
e0,C_u,1,0.34602076124567471,-1,-1,3.8678197860717773,4,0.039156532287597655
e0,C_u,4,0.65397923875432529,-0.5,-0.5,2.6736439296177457,3,0.10371404980856275
e0,C_v,1,0.35253399383650519,-1,-1,3.6430603148738347,4,0.047427347175960317
e0,C_v,4,0.64746600616349481,-0.5,-0.5,2.7840086564857507,3,0.099860155929930042
e0,C_sum,1,0.15782184006846076,-2,-2,4.334321301796626,4,0.01172933065317824
e0,C_sum,2,0.38291107494525845,-1.5,-1.5,3.2763414401419468,4,0.069380171722098052
e0,C_sum,4,0.45926708498628083,-1,-1,2.5001913266515872,3,0.11531030527249347
e0,S_C,1,0.20562699261833639,-0.081940020232771443,-0.0058154527587229998,2.8142572368014784,3,0.067720950439658645
e0,S_C,2,0.24496689634752108,0,0.0074728964580087487,4.1196268166377656,4,0.0098989158556050411
e0,S_C,3,0.15069347764381488,0.01384083044982699,0.021313726907835728,3.2573674197300746,4,0.054730880271327061
e0,S_C,4,0.19373796720405764,0.021866208140930987,0.048995387807489715,2.5204057717131114,3,0.12604777621060351
e0,S_C,5,0.20497466618627,0.049547869040584946,0.11072664359861592,2.5360783143477521,3,0.1578625318295642
e1a,T_marg,1,0.14442643564493701,-0.64856934597788563,-0.48334997592304146,4.0010551924475086,5,0.028613406738788798
e1a,T_marg,2,0.24855673412206761,-0.44946735641689289,-0.33345472658465508,4.1776375425911345,5,0.023657428557897115
e1a,T_marg,3,0.21233647946175446,-0.33064476900673112,-0.2426409847470351,3.8003097603010452,5,0.037500808067104978
e1a,T_marg,4,0.19109125744933236,-0.2141524644731605,-0.095329877062998739,3.3015764947126218,3,0.054456501140500518
e1a,T_marg,5,0.20358909332190855,-0.092808057159284904,0.31880254097804966,3.2744943060856007,3,0.055745773987284732
e1a,S_u2,1,0.26869806094182824,0,0,4.9104661449943618,5,0.006501187983247423
e1a,S_u2,2,0.1329639889196676,0.0055401662049861496,0.034626038781163437,3.4004082679748535,3,0.060517787933349609
e1a,S_u2,3,0.17451523545706371,0.040166204986149583,0.069252077562326875,3.2362828330388145,3,0.046864343067956352
e1a,S_u2,4,0.22437673130193905,0.073407202216066489,0.11218836565096953,3.2323560361508972,3,0.051375777633101853
e1a,S_u2,5,0.1994459833795014,0.11772853185595568,0.22437673130193905,3.3047819667392306,3,0.051298671298556857
e1a,S_v2,1,0.25969190940962605,-0.22437673130193905,-0.14681440443213298,3.6449334463990417,4,0.039033955520254168
e1a,S_v2,2,0.2722878073060942,-0.11218836565096953,-0.11218836565096953,4.52877682430083,5,0.016082666347921118
e1a,S_v2,4,0.32066755215547094,-0.069252077562326875,-0.034626038781163437,2.7528616905898255,3,0.069270865188112804
e1a,S_v2,5,0.14735273112880887,-0,-0,4.4674594623744746,5,0.02037351297020433
e1a,S_2sum,1,0.16534142745168587,-0.44875346260387811,-0.22991689750692521,3.4773134236403616,3,0.046506986232049019
e1a,S_2sum,2,0.2452406737943105,-0.22437673130193905,-0.18005540166204986,3.8287117576439469,5,0.041131713399053485
e1a,S_2sum,3,0.19243735950078991,-0.17174515235457063,-0.11772853185595568,3.0852998888480956,3,0.05268595869533297
e1a,S_2sum,4,0.1982388694530709,-0.11218836565096953,-0.1038781163434903,4.372565675703596,5,0.018505624746603621
e1a,S_2sum,5,0.19874166980014282,-0.10249307479224377,-0,3.7551106152389795,5,0.040992643657528645
e1a,S_2max,1,0.17827671716748184,-0.22437673130193905,-0.18005540166204986,4.1404766725647439,5,0.022912522977249293
e1a,S_2max,2,0.22457572958145774,-0.14681440443213298,-0.11772853185595568,3.0347918663294888,3,0.062503623103846245
e1a,S_2max,3,0.24022583684102319,-0.11218836565096953,-0.11218836565096953,4.5757811106133639,5,0.019757866003024257
e1a,S_2max,4,0.19386257689415254,-0.10249307479224377,-0.069252077562326875,2.9438297899246417,3,0.058530399125956041
e1a,S_2max,5,0.16305913951588469,-0.067867036011080337,-0,3.8705328050093657,5,0.033829185734423367
e1a,S_u1,1,0.26869806094182824,0,0,4.9104661449943618,5,0.006501187983247423
e1a,S_u1,2,0.1329639889196676,0.052631578947368418,0.13157894736842105,3.4004082679748535,3,0.060517787933349609
e1a,S_u1,3,0.14127423822714683,0.18421052631578946,0.18421052631578946,3.0607542150160847,3,0.032369576248468139
e1a,S_u1,4,0.29085872576177285,0.23684210526315788,0.31578947368421051,3.2903035118466333,3,0.055730183919270836
e1a,S_u1,5,0.16620498614958448,0.36842105263157893,0.47368421052631576,3.367843755086263,3,0.055081303914388022
e1a,S_v1,1,0.25969190940962605,-0.47368421052631576,-0.36842105263157893,3.6449334463990417,4,0.039033955520254168
e1a,S_v1,2,0.15606131514023547,-0.26315789473684209,-0.26315789473684209,2.7064078202122541,3,0.067229731193745909
e1a,S_v1,3,0.2722878073060942,-0.23684210526315788,-0.23684210526315788,4.52877682430083,5,0.016082666347921118
e1a,S_v1,4,0.16460623701523547,-0.13157894736842105,-0.13157894736842105,2.7969040806956564,3,0.071206041286627553
e1a,S_v1,5,0.14735273112880887,-0,-0,4.4674594623744746,5,0.02037351297020433
e1a,S_1sum,1,0.26573654555217713,0,0.23684210526315788,4.6099237353956868,5,0.011784294616431844
e1a,S_1sum,2,0.13792051701004154,0.26315789473684209,0.36842105263157893,3.2175553908805172,3,0.066909909677988794
e1a,S_1sum,3,0.21882580786200442,0.39473684210526316,0.47368421052631576,3.7117173655197577,5,0.035186952050954498
e1a,S_1sum,4,0.18176322366392184,0.5,0.57894736842105265,3.3028456870301213,3,0.044154291692018906
e1a,S_1sum,5,0.1957539059118551,0.60526315789473684,0.94736842105263153,3.2662881757662037,3,0.059491641876705671
e1a,E_u_1_4,1,0.35180055401662053,0,0,4.4785418773260641,5,0.012965405081200787
e1a,E_u_1_4,3,0.34903047091412742,0.5,0.5,3.2741634732200984,3,0.054259951152498757
e1a,E_u_1_4,5,0.29916897506925205,1,1,3.3506144064444081,3,0.054254673145435472
e1a,E_v_1_4,2,0.41575322454986152,-1,-1,3.2926390206032963,3,0.049617805682254421
e1a,E_v_1_4,4,0.43689404432132967,-0.5,-0.5,3.8762683751253837,5,0.036851206084679018
e1a,E_v_1_4,5,0.14735273112880887,-0,-0,4.4674594623744746,5,0.02037351297020433
e1a,E_sum_1_4,1,0.15016465966391102,-2,-2,3.1428750770547222,3,0.053034478293790308
e1a,E_sum_1_4,2,0.27901790544927285,-1.5,-1.5,3.137520481298393,3,0.061250292373564337
e1a,E_sum_1_4,3,0.28357119573450484,-1,-1,3.745307144215686,5,0.039514117731933314
e1a,E_sum_1_4,5,0.28724623915231129,-0.5,-0,4.5650791796243979,5,0.012087293736997511
e1a,E_u_3_8,3,0.85041551246537395,0,0,3.7851712851260308,5,0.035731859238217631
e1a,E_u_3_8,5,0.14958448753462603,0.5,1,3.3544108779342086,3,0.062466374150028932
e1a,E_v_3_8,1,0.12673738854743768,-1,-1,4.5923280825609254,5,0.012529949146482677
e1a,E_v_3_8,2,0.40524232816828254,-0.5,-0.5,3.942507132259927,5,0.031901660967534134
e1a,E_v_3_8,4,0.4680202832842798,-0,-0,3.2926901413716818,3,0.05387589481692559
e1a,E_sum_3_8,1,0.19332074194403567,-2,-1,4.2115683482746276,5,0.026204129368092813
e1a,E_sum_3_8,2,0.40823102195507271,-0.5,-0.5,3.859760640049235,5,0.038204825736488174
e1a,E_sum_3_8,5,0.39844823610089164,-0,-0,3.3401544827100427,3,0.047857486713782552
e1a,B_u_mean,1,0.26869806094182824,-0.5,-0.5,4.9104661449943618,5,0.006501187983247423
e1a,B_u_mean,2,0.074792243767313013,-0.47368421052631576,-0.47368421052631576,3.0838230274341725,3,0.031785753038194448
e1a,B_u_mean,3,0.2742382271468144,-0.44736842105263158,-0.42105263157894735,3.296129477144492,3,0.049999275592842486
e1a,B_u_mean,4,0.15789473684210525,-0.39473684210526316,-0.39473684210526316,3.4666634275202166,4,0.073860034608004388
e1a,B_u_mean,5,0.22437673130193905,-0.36842105263157893,-0.28947368421052633,3.206058031246986,3,0.045605977376302086
e1a,B_v_mean,1,0.25969190940962605,0.39473684210526316,0.42105263157894735,3.6449334463990417,4,0.039033955520254168
e1a,B_v_mean,3,0.42834912244632967,0.44736842105263158,0.44736842105263158,3.8648293838937384,5,0.034717181483183104
e1a,B_v_mean,4,0.16460623701523547,0.47368421052631576,0.47368421052631576,2.7969040806956564,3,0.071206041286627553
e1a,B_v_mean,5,0.14735273112880887,0.5,0.5,4.4674594623744746,5,0.02037351297020433
e1a,B_sum,1,0.23974002827567736,-1,-0.94736842105263153,4.6712706887661843,5,0.010974651564465698
e1a,B_sum,2,0.075070029810855268,-0.92105263157894735,-0.92105263157894735,3.4656100862366022,3,0.057632018125677066
e1a,B_sum,3,0.31991477818370195,-0.89473684210526316,-0.86842105263157898,3.583993623741982,3,0.043004795075509972
e1a,B_sum,4,0.13361124054546833,-0.84210526315789469,-0.84210526315789469,3.2310488063900467,3,0.056075198012300376
e1a,B_sum,5,0.2316639231842971,-0.81578947368421051,-0.68421052631578949,3.2909967851525868,3,0.049741370816775592
