dataset,statistic,curve_or_frozen,target_s,threshold,selection_probability,actual_selection_cost_bits,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,gain_ci_low,gain_ci_high,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status
n4q29d43,S_C,curve,NA,-0.039839003588437491,0.94594375847373158,0.080173684877745982,0.0056098138447850943,0.0056436905760909846,1.006038833416439,0.0086859947021043719,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.039844475666767964,0.94607871989137493,0.079967864735012897,0.0056098138447850943,0.0056460881155901924,1.0064662164928733,0.0092987469078475507,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.039941740027498923,0.94643171332427301,0.079429678131572215,0.0056098138447850943,0.0056472807035182941,1.0066788060655576,0.0096034461917636933,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040039004388229799,0.94676472252467647,0.078922144187550294,0.0056098138447850943,0.0056456378865763716,1.0063859591035413,0.0091836992763830901,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040044476466560286,0.94679971985169686,0.0788688156934019,0.0056098138447850943,0.0056455746599948899,1.0063746883941682,0.0091675421674488593,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040141740827291161,0.9469561708974652,0.078630441624718647,0.0056098138447850943,0.0056461428579972911,1.0064759748215117,0.0093127346839446002,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040233533109691591,0.94696001819102094,0.078624580255175811,0.0056098138447850943,0.0056461199189411374,1.0064718857275083,0.0093068733144018884,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040239005188022092,0.94730264000827447,0.07810268979832409,0.0056098138447850943,0.0056457100344438444,1.0063988201127421,0.0092021359362650188,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040336269548752995,0.94751307705882937,0.077782240175948161,0.0056098138447850943,0.005646665988965606,1.006569227642869,0.0094463982329325933,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040341741627083483,0.94754895241931081,0.077727616945829289,0.0056098138447850943,0.0056464784912130649,1.0065358044745201,0.0093984926955035988,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040433533909483871,0.94757616659626365,0.077686182469825046,0.0056098138447850943,0.0056465561403203132,1.0065496461294121,0.0094183321780896678,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040439005987814358,0.94763803656678647,0.077591987840494023,0.0056098138447850943,0.005646198571537627,1.0064859062634237,0.0093269704646913969,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040530798270214788,0.94763920234981924,0.077590213040094794,0.0056098138447850943,0.0056461916256003147,1.0064846680873443,0.0093251956642921036,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040536270348545289,0.94777690927730873,0.077380581919502339,0.0056098138447850943,0.0056456857085725757,1.0063944838064152,0.009195919731529615,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040633534709276165,0.94818521325942129,0.076759200160580673,0.0056098138447850943,0.0056446085690293971,1.006202473951368,0.0089206418966396566,NA,NA,NA,NA,NA,exact-curve
n4q29d43,S_C,curve,NA,-0.040730799070007054,0.94836864303215407,0.076480132710510393,0.0056098138447850943,0.0056446751103582781,1.0062143355444122,0.0089376489712987423,NA,NA,NA,NA,NA,exact-curve
