dataset,statistic,public_or_diagnostic,E0_orientation,auc,auc_ci_low,auc_ci_high,auc_minus_baseline,auc_minus_baseline_ci_low,auc_minus_baseline_ci_high,auc_retained_fraction,margin_rank_correlation,margin_corr_ci_low,margin_corr_ci_high,degenerate_on_e0
e1a,C_u,public,-1,0.59253489371455559,0.59253489371455559,0.59253489371455559,-0.0068828419859460199,-0.0068828419859460199,-0.0068828419859460199,0.93076846965534654,-0.45525908798896353,-0.45525908798896353,-0.45525908798896353,False
e1a,C_v,public,-1,0.55447627520408216,0.55447627520408216,0.55447627520408216,-0.04494146049641945,-0.04494146049641945,-0.04494146049641945,0.54795328841720237,-0.20500818753237585,-0.20500818753237585,-0.20500818753237585,False
e1a,C_sum,public,-1,0.60402965959602017,0.60402965959602017,0.60402965959602017,0.004611923895518566,0.004611923895518566,0.004611923895518566,1.0463893475648258,-0.43164957890186478,-0.43164957890186478,-0.43164957890186478,False
e1a,S_C,public-secondary,1,0.30585714989440299,0.30585714989440299,0.30585714989440299,-0.29356058580609862,-0.29356058580609862,-0.29356058580609862,-1.9527989521955837,0.51735976013335849,0.51735976013335849,0.51735976013335849,False
n4q29d43,T_marg,public,1,0.55644376869023504,0.53753325041216538,0.57661086793705374,0,0,0,1,-0.087733447831491326,-0.12233909388297706,-0.056372628580319273,False
n4q29d43,S_u2,public,1,0.54956806455674645,0.51768693226048523,0.58212457413138696,-0.0068757041334885916,-0.045836728325636233,0.031516082704253212,0.87818488571833953,-0.06329549650157916,-0.08914946722455698,-0.038212735703835932,False
n4q29d43,S_v2,public,-1,0.52455577078394156,0.51334963006769585,0.53628678674541341,-0.031887997906293486,-0.043527136335548167,-0.020677561691701651,0.43504839158958897,-0.026564911036185874,-0.046215583472264753,-0.0077253994982754235,False
n4q29d43,S_2sum,public,-1,0.48575854016358078,0.46062929745767267,0.51042647082142967,-0.070685228526654265,-0.097532437004677397,-0.045336988633556952,-0.25231234849991585,0.02348244268808149,0.0037544396490210292,0.043242667509308802,False
n4q29d43,S_2max,public,-1,0.50497029194955678,0.48003864209569352,0.52994697914019773,-0.051473476740678259,-0.077068352377154481,-0.027327335283386156,0.088057407662374243,0.0055139490333152271,-0.017734192089917854,0.028973181568353115,False
n4q29d43,S_u1,public,1,0.5534775663923811,0.52210607122854613,0.5852698907874333,-0.0029662022978539371,-0.041195635204045011,0.033656759645099621,0.94744854274113877,-0.064664261458647829,-0.089868996839682538,-0.040544458574783449,False
n4q29d43,S_v1,public,-1,0.49998268782248811,0.49444088256571345,0.50508128194439628,-0.056461080867746927,-0.076892434123652986,-0.037187408579211878,-0.00030671547831781639,0.013695463690021942,0.00851614378942947,0.019092395984420172,False
