key_id,su1_numerator,minimum_margin,Nz,Ez
2,54,4,1549062144,0
2,54,5,250822656,0
2,55,-2,1698693120,1698693120
2,55,-1,2717908992,2717908992
2,55,1,1203240960,0
2,55,2,239763456,0
2,55,3,3235147776,0
2,55,4,809948160,0
2,55,5,60963840,0
2,56,-2,37748736,37748736
2,56,-1,1674313728,1674313728
2,56,1,4026064896,0
2,56,2,2323390464,0
2,56,3,821993472,0
2,56,4,125853696,0
2,57,-2,283115520,283115520
2,57,-1,1309409280,1309409280
2,57,1,8286511104,0
2,57,2,11303239680,0
2,57,3,4090134528,0
2,57,4,1228382208,0
2,57,5,74317824,0
2,58,-3,18874368,18874368
2,58,-2,780140544,780140544
2,58,-1,4245946368,4245946368
2,58,1,10868391936,0
2,58,2,20021465088,0
2,58,3,17283100672,0
2,58,4,5355012096,0
2,58,5,1439170560,0
2,59,-3,169869312,169869312
2,59,-2,2559836160,2559836160
2,59,-1,5836898304,5836898304
2,59,1,16775282688,0
2,59,2,38332465152,0
2,59,3,34508003328,0
2,59,4,20407855104,0
2,59,5,4515139584,0
2,59,6,458846208,0
2,60,-4,113246208,113246208
2,60,-3,509607936,509607936
2,60,-2,7962624000,7962624000
2,60,-1,11367088128,11367088128
2,60,1,17132224512,0
2,60,2,33189298176,0
2,60,3,47736092672,0
2,60,4,36340623360,0
2,60,5,12941334528,0
2,60,6,646797312,0
2,60,7,995328,0
2,61,-4,1019215872,1019215872
2,61,-3,849346560,849346560
2,61,-2,9701425152,9701425152
2,61,-1,24255922176,24255922176
2,61,1,12938084352,0
2,61,2,51485982720,0
2,61,3,75697803264,0
2,61,4,90485385216,0
2,61,5,7975535616,0
2,61,6,490816512,0
2,61,7,11943936,0
2,62,-4,3057647616,3057647616
2,62,-3,3057647616,3057647616
2,62,-2,2170552320,2170552320
2,62,-1,34695806976,34695806976
2,62,1,42725670912,0
2,62,2,31283970048,0
2,62,3,55642439680,0
2,62,4,92430360576,0
2,62,5,15574413312,0
2,62,6,614596608,0
2,62,7,16920576,0
2,63,-4,3057647616,3057647616
2,63,-3,9342812160,9342812160
2,63,-2,4473225216,4473225216
2,63,-1,3680501760,3680501760
2,63,1,32213827584,0
2,63,2,72595808256,0
2,63,3,141830074368,0
2,63,4,56168386560,0
2,63,5,28310750208,0
2,63,6,3517406208,0
2,64,-3,9172942848,9172942848
2,64,-2,3906994176,3906994176
2,64,-1,11595939840,11595939840
2,64,1,17243111424,0
2,64,2,123901968384,0
2,64,3,80187420672,0
2,64,4,30933992448,0
2,64,5,34014422016,0
2,64,6,3012028416,0
2,65,-3,622854144,622854144
2,65,-2,4737466368,4737466368
2,65,-1,8417968128,8417968128
2,65,1,22492569600,0
2,65,2,27918471168,0
2,65,3,104094830592,0
2,65,4,60064579584,0
2,65,5,12881604096,0
2,65,6,3532460544,0
2,66,-3,1132462080,1132462080
2,66,-2,1075838976,1075838976
2,66,-1,11670061056,11670061056
2,66,1,18480463872,0
2,66,2,54565011456,0
2,66,3,54221248512,0
2,66,4,39562168320,0
2,66,5,7394091264,0
2,66,6,3209248512,0
2,67,-3,3416260608,3416260608
2,67,-2,2044723200,2044723200
2,67,-1,8464367616,8464367616
2,67,1,20878786560,0
2,67,2,35315263488,0
2,67,3,37686085632,0
2,67,4,16786381824,0
2,67,5,11073530880,0
2,67,6,381044736,0
2,68,-3,1094713344,1094713344
2,68,-2,1207959552,1207959552
2,68,-1,16868442112,16868442112
2,68,1,13734641664,0
2,68,2,47145517056,0
2,68,3,44843655168,0
2,68,4,21122973696,0
2,68,5,2022617088,0
2,68,6,102297600,0
2,69,-3,2095054848,2095054848
2,69,-2,1075838976,1075838976
2,69,-1,15996026880,15996026880
2,69,1,20870332416,0
2,69,2,67144974336,0
2,69,3,59593383936,0
2,69,4,29450704896,0
2,69,5,821311488,0
2,69,6,774144,0
2,70,-3,352321536,352321536
2,70,-2,855638016,855638016
2,70,-1,10459545600,10459545600
2,70,1,8628535296,0
2,70,2,83528417280,0
2,70,3,39481712640,0
2,70,4,88480862208,0
2,70,5,11317151232,0
2,70,6,398297088,0
2,70,7,2032128,0
2,71,-3,339738624,339738624
2,71,-2,188743680,188743680
2,71,-1,8389656576,8389656576
2,71,1,10887561216,0
2,71,2,36795187200,0
2,71,3,57665323008,0
2,71,4,67728245760,0
2,71,5,5280003072,0
2,71,6,311592960,0
2,72,-3,37748736,37748736
2,72,-2,169869312,169869312
2,72,-1,2246049792,2246049792
2,72,1,8210087936,0
2,72,2,37062475776,0
2,72,3,26480181248,0
2,72,4,92802318336,0
2,72,5,8039000064,0
2,72,6,1331140608,0
2,73,-1,2831155200,2831155200
2,73,1,1907884032,0
2,73,2,7880835072,0
2,73,3,32524787712,0
2,73,4,26038239744,0
2,73,5,10953380352,0
2,73,6,1051481088,0
2,73,7,10450944,0
2,74,-1,169869312,169869312
2,74,1,2095054848,0
2,74,2,4989911040,0
2,74,3,8978989056,0
2,74,4,27764287488,0
2,74,5,6535256064,0
2,74,6,1593962496,0
2,74,7,16257024,0
2,75,-1,509607936,509607936
2,75,2,905969664,0
2,75,3,6587154432,0
2,75,4,4889677824,0
2,75,5,3464681472,0
2,75,6,856332288,0
2,76,2,56623104,0
2,76,3,679477248,0
2,76,4,1293484032,0
2,76,5,1643120640,0
2,76,6,1763112960,0
2,77,2,169869312,0
2,77,5,1084575744,0
2,77,6,104509440,0
3,46,1,113246208,0
3,46,2,992673792,0
3,46,3,5308416,0
3,46,4,1741160448,0
3,46,5,207028224,0
3,46,6,111476736,0
3,47,1,566231040,0
3,47,2,4483842048,0
3,47,3,95551488,0
3,47,4,5941444608,0
3,47,5,1382842368,0
3,47,6,213663744,0
3,48,-1,679477248,679477248
3,48,1,1679818752,0
3,48,2,9714253824,0
3,48,3,420102144,0
3,48,4,14127906816,0
3,48,5,4217978880,0
3,48,6,1624375296,0
3,49,-1,4076863488,4076863488
3,49,1,3831496704,0
3,49,2,26674495488,0
3,49,3,3476127744,0
3,49,4,41302020096,0
3,49,5,12091908096,0
3,49,6,3069923328,0
3,50,-1,10645143552,10645143552
3,50,1,5442109440,0
3,50,2,44912566272,0
3,50,3,6517235712,0
3,50,4,47611478016,0
3,50,5,17455177728,0
3,50,6,8042913792,0
3,51,-1,27179089920,27179089920
3,51,1,10009706496,0
3,51,2,62854250496,0
3,51,3,22419062784,0
3,51,4,93936549888,0
3,51,5,35824840704,0
3,51,6,13577932800,0
3,52,-1,50243567616,50243567616
3,52,1,7256145920,0
3,52,2,102533308416,0
3,52,3,25106735104,0
3,52,4,99934396416,0
3,52,5,30247870464,0
3,52,6,15989833728,0
3,52,7,776355840,0
3,53,-1,53640953856,53640953856
3,53,1,11953766400,0
3,53,2,68842487808,0
3,53,3,54623404032,0
3,53,4,105429970944,0
3,53,5,47941244928,0
3,53,6,18194429952,0
3,54,-1,89565954048,89565954048
3,54,1,4859363328,0
3,54,2,127367872512,0
3,54,3,48582131712,0
3,54,4,137185849344,0
3,54,5,29725470720,0
3,54,6,15716671488,0
3,54,7,31850496,0
3,55,-1,28798353408,28798353408
3,55,1,6745227264,0
3,55,2,60257796096,0
3,55,3,46683586560,0
3,55,4,64111656960,0
3,55,5,31492988928,0
3,55,6,9542098944,0
3,56,-1,56674222080,56674222080
3,56,1,2544107520,0
3,56,2,125109534720,0
3,56,3,59792031744,0
3,56,4,116746825728,0
3,56,5,17138847744,0
3,56,6,7081869312,0
3,57,-1,9152233472,9152233472
3,57,1,1754005504,0
3,57,2,47093907456,0
