key_id,x_numerator,coordinate_margin,Nz,Ez
6,7,8,816043786240,0
6,9,2,8589934592,0
6,9,3,25769803776,0
6,9,4,386547056640,0
6,9,5,266287972352,0
6,9,6,944892805120,0
6,9,7,850403524608,0
6,9,8,541165879296,0
6,11,-1,17179869184,17179869184
6,11,2,77309411328,0
6,11,3,128849018880,0
6,11,4,343597383680,0
6,11,5,326417514496,0
6,11,6,910533066752,0
6,11,7,721554505728,0
6,11,8,773094113280,0
6,13,-1,51539607552,51539607552
6,13,2,292057776128,0
6,13,3,489626271744,0
6,13,4,644245094400,0
6,13,5,369367187456,0
6,13,6,1967095021568,0
6,13,7,1168231104512,0
6,13,8,1340029796352,0
6,14,2,274877906944,0
6,14,3,103079215104,0
6,14,4,249108103168,0
6,14,5,103079215104,0
6,14,6,841813590016,0
6,14,7,515396075520,0
6,14,8,661424963584,0
7,0,-2,3221225472,3221225472
7,0,-1,3221225472,3221225472
7,0,1,41875931136,0
7,0,2,38654705664,0
7,0,3,192199786496,0
7,0,4,227633266688,0
7,0,5,401579442176,0
7,0,6,647466319872,0
7,0,7,515396075520,0
7,0,8,127775277056,0
7,2,-4,1610612736,1610612736
7,2,-3,1610612736,1610612736
7,2,-2,20937965568,20937965568
7,2,-1,19327352832,19327352832
7,2,1,97710505984,0
7,2,2,115427246080,0
7,2,3,221727686656,0
7,2,4,343060512768,0
7,2,5,353797931008,0
7,2,6,360240381952,0
7,2,7,501974302720,0
7,2,8,161598144512,0
7,4,-2,1610612736,1610612736
7,4,-1,16642998272,16642998272
7,4,1,47244640256,0
7,4,2,141197049856,0
7,4,3,225485783040,0
7,4,4,531502202880,0
7,4,5,626528354304,0
7,4,6,1208496422912,0
7,4,7,1462973235200,0
7,4,8,411243118592,0
7,5,-2,15032385536,15032385536
7,5,-1,49928994816,49928994816
7,5,1,105763569664,0
7,5,2,322122547200,0
7,5,3,468688306176,0
7,5,4,986768736256,0
7,5,5,1574642384896,0
7,5,6,2199560126464,0
7,5,7,2716029943808,0
7,5,8,632433934336,0
7,7,-1,11274289152,11274289152
7,7,1,24696061952,0
7,7,2,302795194368,0
7,7,3,464393338880,0
7,7,4,1150514364416,0
7,7,5,1118838980608,0
7,7,6,1677184729088,0
7,7,7,1653025538048,0
7,7,8,744103084032,0
7,9,-2,1073741824,1073741824
7,9,-1,3221225472,3221225472
7,9,1,6442450944,0
7,9,2,24159191040,0
7,9,3,28454158336,0
7,9,4,153008209920,0
7,9,5,205621559296,0
7,9,6,541702750208,0
7,9,7,511637979136,0
7,9,8,173946175488,0
7,11,-2,1610612736,1610612736
7,11,1,15032385536,0
7,11,2,38117834752,0
7,11,3,84288733184,0
7,11,4,200252850176,0
7,11,5,275414777856,0
7,11,6,672162381824,0
7,11,7,349502963712,0
7,11,8,287762808832,0
7,13,-4,536870912,536870912
7,13,-2,11274289152,11274289152
7,13,-1,20937965568,20937965568
7,13,1,66035122176,0
7,13,2,121332826112,0
7,13,3,346281738240,0
7,13,4,579820584960,0
7,13,5,670551769088,0
7,13,6,1292248285184,0
7,13,7,1074278694912,0
7,13,8,489626271744,0
7,14,-1,6442450944,6442450944
7,14,1,28991029248,0
7,14,2,69793218560,0
7,14,3,238370684928,0
7,14,4,399431958528,0
7,14,5,266824843264,0
7,14,6,293668388864,0
7,14,7,286152196096,0
7,14,8,59592671232,0
8,0,-1,7247757312,7247757312
8,0,1,2415919104,0
8,0,2,36238786560,0
8,0,3,57176752128,0
8,0,4,124017180672,0
8,0,5,208037478400,0
8,0,6,323464724480,0
8,0,7,240249733120,0
8,0,8,100663296000,0
8,2,-3,3623878656,3623878656
8,2,-2,1207959552,1207959552
8,2,-1,18522046464,18522046464
8,2,1,31406948352,0
8,2,2,84288733184,0
8,2,3,134351945728,0
8,2,4,250047627264,0
8,2,5,252329328640,0
8,2,6,347623915520,0
8,2,7,375541202944,0
8,2,8,150323855360,0
8,4,-3,2415919104,2415919104
8,4,-2,14092861440,14092861440
8,4,-1,38654705664,38654705664
8,4,1,79859548160,0
8,4,2,178778013696,0
