feature_id,feature_value,Nz,Ez
secret_key,"A=0.22.3.26|t=1.1.0.0|e=28.0.0.1",268435456,196608
secret_key,"A=21.24.13.20|t=28.1.0.0|e=28.0.0.1",268435456,311296
secret_key,"A=21.28.2.25|t=0.0.0.1|e=1.1.0.1",268435456,491520
secret_key,"A=21.3.18.0|t=0.0.28.0|e=28.1.1.28",268435456,393216
secret_key,"A=21.3.28.18|t=0.0.28.0|e=28.28.1.1",268435456,1179648
secret_key,"A=21.8.8.7|t=0.28.0.0|e=0.0.0.0",268435456,0
secret_key,"A=22.18.17.13|t=1.0.0.1|e=0.0.28.28",268435456,32768
secret_key,"A=22.2.27.10|t=1.0.0.0|e=0.28.28.0",268435456,0
secret_key,"A=22.6.21.12|t=1.28.0.0|e=1.1.0.28",268435456,1343488
secret_key,"A=23.1.16.12|t=28.1.0.1|e=0.1.1.0",268435456,1736704
secret_key,"A=23.10.24.26|t=0.1.0.28|e=1.0.0.1",268435456,786432
secret_key,"A=23.12.11.12|t=28.0.1.28|e=1.0.0.0",268435456,999424
secret_key,"A=23.16.27.16|t=1.28.0.1|e=1.0.1.0",268435456,2052864
secret_key,"A=23.23.16.11|t=0.28.28.0|e=0.28.0.28",268435456,327680
secret_key,"A=23.28.28.1|t=0.0.0.0|e=1.0.28.0",268435456,0
secret_key,"A=23.6.23.14|t=0.1.28.28|e=28.1.0.1",268435456,6348480
secret_key,"A=24.14.26.1|t=28.1.1.0|e=1.1.0.28",268435456,4112384
secret_key,"A=24.25.26.6|t=28.0.0.28|e=0.0.1.1",268435456,98304
secret_key,"A=24.28.9.15|t=0.0.0.0|e=1.28.1.0",268435456,0
secret_key,"A=24.6.16.6|t=0.1.0.28|e=28.1.1.0",268435456,1048576
secret_key,"A=25.2.3.24|t=0.1.1.1|e=1.28.0.0",268435456,2245248
secret_key,"A=26.22.14.3|t=0.28.28.0|e=1.0.0.0",268435456,0
secret_key,"A=26.9.7.14|t=0.1.28.28|e=0.0.1.0",268435456,835584
secret_key,"A=27.23.9.14|t=0.0.0.1|e=0.28.1.0",268435456,0
secret_key,"A=27.26.5.19|t=28.0.1.0|e=1.28.0.0",268435456,786432
secret_key,"A=27.7.9.28|t=0.0.0.1|e=0.0.28.28",268435456,0
secret_key,"A=28.11.25.12|t=1.28.1.0|e=0.28.0.0",268435456,1351808
secret_key,"A=28.14.10.27|t=0.1.28.28|e=1.1.28.0",268435456,3096576
secret_key,"A=28.16.27.24|t=28.28.28.1|e=0.1.1.1",268435456,7478400
secret_key,"A=28.20.9.3|t=28.0.0.1|e=28.0.1.1",268435456,1650944
secret_key,"A=28.28.24.18|t=0.0.0.28|e=0.28.1.28",268435456,131072
secret_key,"A=3.16.11.25|t=1.28.0.28|e=28.0.0.0",268435456,229376
secret_key,"A=3.16.5.3|t=0.28.28.28|e=0.0.0.28",268435456,399616
secret_key,"A=3.20.10.5|t=0.1.0.0|e=28.28.0.0",268435456,0
secret_key,"A=3.27.16.17|t=28.1.1.0|e=1.0.0.28",268435456,1078912
secret_key,"A=3.9.16.22|t=28.1.0.1|e=1.28.1.1",268435456,5052160
secret_key,"A=4.1.19.5|t=0.28.0.28|e=1.0.1.0",268435456,818048
secret_key,"A=4.10.3.13|t=0.28.0.28|e=0.0.28.28",268435456,557056
secret_key,"A=4.12.4.2|t=1.1.1.1|e=1.0.28.1",268435456,6585600
secret_key,"A=4.14.8.4|t=0.1.0.0|e=0.1.0.1",268435456,0
secret_key,"A=4.21.19.15|t=0.1.1.0|e=1.1.1.1",268435456,3876608
secret_key,"A=4.3.10.23|t=0.0.0.0|e=28.0.28.28",268435456,0
secret_key,"A=4.7.19.12|t=28.0.1.28|e=1.1.28.0",268435456,4134016
secret_key,"A=4.9.17.28|t=1.0.0.0|e=0.1.1.28",268435456,917504
secret_key,"A=5.25.27.11|t=28.1.0.1|e=28.0.1.0",268435456,2826240
secret_key,"A=6.15.19.9|t=1.28.0.0|e=1.1.1.0",268435456,1474560
secret_key,"A=6.17.12.20|t=1.28.0.0|e=0.0.0.28",268435456,262144
secret_key,"A=6.24.16.5|t=28.1.28.0|e=1.28.28.0",268435456,3941376
secret_key,"A=6.9.15.15|t=1.0.0.0|e=0.1.0.0",268435456,0
secret_key,"A=7.12.25.12|t=0.28.28.0|e=1.0.1.0",268435456,1638400
secret_key,"A=7.16.4.3|t=0.1.28.1|e=1.28.1.0",268435456,2539520
secret_key,"A=7.19.17.11|t=28.1.1.0|e=1.28.28.28",268435456,3461120
secret_key,"A=7.25.20.18|t=0.1.28.1|e=1.28.0.28",268435456,5524416
secret_key,"A=7.28.17.14|t=0.0.0.1|e=0.1.1.1",268435456,0
secret_key,"A=7.3.3.21|t=0.0.0.28|e=1.28.0.0",268435456,0
secret_key,"A=8.11.26.13|t=0.0.1.28|e=0.0.0.0",268435456,0
secret_key,"A=8.21.7.26|t=0.0.1.28|e=0.0.0.0",268435456,0
secret_key,"A=8.3.17.8|t=0.0.28.1|e=0.0.28.0",268435456,196608
secret_key,"A=8.5.1.16|t=1.0.1.28|e=28.0.1.1",268435456,2007040
secret_key,"A=8.5.13.26|t=0.28.28.0|e=0.0.0.1",268435456,24576
secret_key,"A=9.12.12.3|t=0.0.28.28|e=1.0.1.1",268435456,2028544
secret_key,"A=9.15.28.13|t=28.28.1.0|e=0.1.0.28",268435456,2334720
secret_key,"A=9.19.8.3|t=0.28.0.1|e=0.1.28.28",268435456,466944
secret_key,"A=9.5.8.12|t=28.0.1.0|e=28.0.28.28",268435456,1079296
