dataset,evaluation_mode,target_s,joint_gain_bits,marginal_gain_bits,delta_gain_bits,delta_ci_low,delta_ci_high,joint_auc,marginal_auc,joint_auc_ci_low,joint_auc_ci_high,marginal_auc_ci_low,marginal_auc_ci_high
n4q29d43,recalibrated,6,0.22853425787292084,0.24954800398714444,-0.021013746114223603,-0.25630626935025408,0.21355022162938389,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,recalibrated,8,0.20451898129689849,0.16294126860590175,0.041577712690996749,-0.26380091388140403,0.34722534101604141,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,recalibrated,10,0.11957678422382867,-0.090816756986097494,0.21039354120992615,-0.40011361146892432,0.8241140981385443,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,frozen,2,0.21342981264169136,0.20899841246947351,0.0044314001722178531,-0.031813808342727387,0.039729712892527469,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,frozen,4,0.21068245353767406,0.24010184984360591,-0.02941939630593185,-0.20809123857644374,0.142835192280243,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,frozen,6,0.23945602128685448,0.16125537853575478,0.078200642751099697,-0.30379979815208669,0.45354587824057124,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,frozen,8,-2.2131019617210237,-2.5705962543396264,0.35749429261860266,-inf,inf,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q29d43,frozen,10,-2.2131019617210237,-2.5705962543396264,0.35749429261860266,-inf,inf,0.55374419766571781,0.55644376869023504,0.53550026089471547,0.57306724734473136,0.53742097859802018,0.576920436432523
n4q19d43,recalibrated,2,0.13767879815813916,0.14127938554523442,-0.0036005873870952609,-0.037606102159666047,0.025677273548367949,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,recalibrated,4,0.17179799837079102,0.16221635132640866,0.0095816470443823576,-0.065649953784170656,0.082512475413855299,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,recalibrated,6,0.22763441584984467,0.18701475364284953,0.040619662206995144,-0.11015982845003841,0.18128297095144941,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,recalibrated,8,0.25003627576822485,0.23492398257928571,0.015112293188939141,-0.19832405183051399,0.23363546733637214,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,recalibrated,10,0.3076672674677754,0.22674896597671837,0.080918301491057026,-0.28206570029818967,0.40663845348449212,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,frozen,2,0.1613195529250073,0.15557390739583429,0.0057456455291730046,-0.047543604594685596,0.055432223801296948,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,frozen,4,0.27964664614005397,0.26014146344640027,0.0195051826936537,-0.24100805319034846,0.2828726560734332,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,frozen,6,0.26797926351487006,0.65500845065754953,-0.38702918714267948,-1.3220711802578051,0.54929407676534381,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,frozen,8,0.13720255311910393,-2.7160909041525838,2.8532934572716879,-5.1551279995142325,inf,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
n4q19d43,frozen,10,0.13720255311910393,-2.7160909041525838,2.8532934572716879,-5.1551279995142325,inf,0.53193126099259713,0.53328390789802382,0.52400399912169449,0.54006294119450482,0.52572086655197159,0.54106830230695102
