dataset,score,threshold,false_positive_rate,true_positive_rate,auc
e0,marginal,-0.11848661985523556,0.41720226604885641,0.76509497161394968,0.71221603354155616
e0,marginal,-0.13435273702366235,0.43337153408533785,0.77170648824006494,0.71221603354155616
e0,marginal,-0.15182724290941513,0.43685410951904668,0.77349172749391726,0.71221603354155616
e0,marginal,-0.16775568182847808,0.45774815396639301,0.78878167072181671,0.71221603354155616
e0,marginal,-0.20109630488265764,0.49646182400086813,0.83138637469586374,0.71221603354155616
e0,marginal,-0.20930036169285554,0.51134263029772298,0.83735977291159769,0.71221603354155616
e0,marginal,-0.2426409847470351,0.51818882081338014,0.84256415247364147,0.71221603354155616
e0,marginal,-0.25036536685590016,0.61835013214240597,0.88848264395782639,0.71221603354155616
e0,marginal,-0.28424798636204873,0.62174456138963397,0.89068896999188973,0.71221603354155616
e0,marginal,-0.29191004672027765,0.67116107085065313,0.92495944849959444,0.71221603354155616
e0,marginal,-0.3175886094162283,0.67444026129837398,0.92769051094890509,0.71221603354155616
e0,marginal,-0.33345472658465508,0.68018524593913987,0.92848532035685316,0.71221603354155616
e0,marginal,-0.36685767138947079,0.70367288182177767,0.94023803730738043,0.71221603354155616
e0,marginal,-0.4001982944436504,0.7158486512807255,0.94755952960259526,0.71221603354155616
e0,marginal,-0.40840235125384827,0.72054211779830779,0.94911216545012167,0.71221603354155616
e0,marginal,-0.44946735641689289,0.89450549594238726,0.98542206001622057,0.71221603354155616
e0,marginal,-0.48334997592304146,0.89548459467036934,0.9861798864557989,0.71221603354155616
e0,marginal,-0.49101203628127033,0.91202940899910989,0.99155847526358476,0.71221603354155616
e0,marginal,-0.56595966095046357,0.91921597067221406,0.99446115166261151,0.71221603354155616
e0,marginal,-0.64856934597788563,1,1,0.71221603354155616
e1a,joint,inf,0,0,0.61369730370218001
e1a,joint,0.28778529950139831,0.00083029168886954879,0.0014239755567707192,0.61369730370218001
e1a,joint,0.21376799186532983,0.0034243204729603447,0.0039171296227342462,0.61369730370218001
e1a,joint,0.16788467213039449,0.009700399964399092,0.01019709055782394,0.61369730370218001
e1a,joint,0.14389264975069915,0.018351942084964858,0.017562985784713193,0.61369730370218001
e1a,joint,0.13975068422926135,0.020413805968539679,0.019228989312470347,0.61369730370218001
e1a,joint,0.093867364494326005,0.029356503693330049,0.026889573541395827,0.61369730370218001
e1a,joint,0.072860455366107413,0.033312273791402454,0.033108362571730707,0.61369730370218001
e1a,joint,0.069875342114630673,0.048027029443200572,0.052466876743399282,0.61369730370218001
e1a,joint,0.047984044759390672,0.059610562474090523,0.062187358373742251,0.61369730370218001
e1a,joint,0.030951629506565395,0.068561909529149825,0.06963889426728824,0.61369730370218001
e1a,joint,0.023992022379695336,0.096072435962163388,0.13399971701344932,0.61369730370218001
e1a,joint,0.014281700474373688,0.10115348832991865,0.13713171853689571,0.61369730370218001
e1a,joint,0,0.13870364234081778,0.21002309638351699,0.61369730370218001
e1a,joint,-0.0011568522699610673,0.14463928925482036,0.21671663258770987,0.61369730370218001
e1a,joint,-0.0023345615569646816,0.15056628683855403,0.22361921712728225,0.61369730370218001
e1a,joint,-0.043065678129503085,0.16404016621327744,0.23531940777085322,0.61369730370218001
e1a,joint,-0.047040172004896408,0.17883545087131988,0.25057621274630998,0.61369730370218001
e1a,joint,-0.059735607161694793,0.18606543264566242,0.25454547147048751,0.61369730370218001
e1a,joint,-0.07103219438459174,0.2065198112359598,0.2940388510746042,0.61369730370218001
e1a,joint,-0.076351869193033162,0.21614753371720219,0.30319429048037499,0.61369730370218001
e1a,joint,-0.088948997864438425,0.24691662380149554,0.34001525574111624,0.61369730370218001
e1a,joint,-0.10561892689663013,0.2654788458509757,0.35318689665884373,0.61369730370218001
e1a,joint,-0.11294102024413376,0.31670950029231654,0.44879299852974658,0.61369730370218001
e1a,joint,-0.1222351889279685,0.33722720826645325,0.47475701455572178,0.61369730370218001
e1a,joint,-0.12961094927632547,0.3563820194817251,0.51768266994619005,0.61369730370218001
e1a,joint,-0.14206438876918348,0.36144626837960675,0.52321899329130384,0.61369730370218001
e1a,joint,-0.14622721130766383,0.40255005365225782,0.58129586563032598,0.61369730370218001
e1a,joint,-0.18397321462872551,0.42307824866423971,0.60700641719877357,0.61369730370218001
e1a,joint,-0.20064314366091721,0.43393319116446044,0.62011688621174632,0.61369730370218001
e1a,joint,-0.21725940569225557,0.44791678129413526,0.63926794783685503,0.61369730370218001
e1a,joint,-0.22588204048826752,0.47074409153905344,0.66828630366371833,0.61369730370218001
e1a,joint,-0.24255196952045921,0.49481895213077681,0.69410364010068359,0.61369730370218001
e1a,joint,-0.25344027914627609,0.5020489339051194,0.69807289882486112,0.61369730370218001
e1a,joint,-0.25916823155179758,0.53454408257720287,0.7361561330419778,0.61369730370218001
e1a,joint,-0.25922189855265093,0.60786377300424732,0.73786628672707966,0.61369730370218001
e1a,joint,-0.2758381605839893,0.62348996558843039,0.75642278403445207,0.61369730370218001
e1a,joint,-0.29245442261532767,0.63501192991339839,0.76992501920265877,0.61369730370218001
e1a,joint,-0.3274575867823446,0.64541762443877293,0.77796034783940837,0.61369730370218001
e1a,joint,-0.37334090651727991,0.66950113436076519,0.80356863594099415,0.61369730370218001
e1a,joint,-0.39733292889697525,0.69938428432976407,0.87517593571737096,0.61369730370218001
e1a,joint,-0.46836512328156699,0.71500182758367825,0.89394148136012275,0.61369730370218001
e1a,joint,-0.51027394914110902,0.74803598028956286,0.93832555474938673,0.61369730370218001
e1a,joint,-0.52694387817330068,0.8984575834202595,0.95387332521963375,0.61369730370218001
e1a,joint,-0.54356014020463905,0.92215715001178333,0.98263994536019084,0.61369730370218001
e1a,joint,-0.79466585779395049,1,1,0.61369730370218001
e1a,marginal,inf,0,0,0.59941773570050161
e1a,marginal,0.31880254097804966,0.00030067977133371618,0.00073087127941836693,0.59941773570050161
e1a,marginal,0.28258963859531,0.0012631543548475557,0.0010606676354877902,0.59941773570050161
e1a,marginal,0.24637673621257034,0.0020934460437171047,0.0024846431922585094,0.59941773570050161
e1a,marginal,0.22798879914042969,0.0050162594203971541,0.0088933310921365909,0.59941773570050161
e1a,marginal,0.19177589675769002,0.011393632913267861,0.015488992248721772,0.59941773570050161
e1a,marginal,0.15556299437495036,0.017669712404706609,0.021768953183811467,0.59941773570050161
e1a,marginal,0.1530411744712365,0.020102705184782708,0.026245672752650606,0.59941773570050161
e1a,marginal,0.13717505730280971,0.025931825582667746,0.036534255202803484,0.59941773570050161
e1a,marginal,0.11682827208849683,0.030561704234104665,0.040879854123624694,0.59941773570050161
e1a,marginal,0.10096215492007005,0.040416235043811387,0.066543462904293096,0.59941773570050161
e1a,marginal,0.083487649034317268,0.041977516187012516,0.068200955558345225,0.59941773570050161
e1a,marginal,0.080615369705757153,0.045933286285084918,0.074419744588680115,0.59941773570050161
e1a,marginal,0.070431489443814416,0.046978160595130262,0.077830477225965825,0.59941773570050161
e1a,marginal,0.064749252537330368,0.058561693626020213,0.087550958856308786,0.59941773570050161
e1a,marginal,0.062227432633616533,0.06864632853316778,0.1001662014055708,0.59941773570050161
e1a,marginal,0.047274746651577604,0.071240357317258585,0.10265935547153432,0.59941773570050161
e1a,marginal,0.034218587061074744,0.075611240247054803,0.10579029313576759,0.59941773570050161
e1a,marginal,0.026014530250876862,0.090165763204138022,0.1382249668607855,0.59941773570050161
e1a,marginal,-0.0019943153216649273,0.095246815571893281,0.1413569683842319,0.59941773570050161
e1a,marginal,-0.0073260928033027084,0.10633524597242726,0.15679462942592029,0.59941773570050161
e1a,marginal,-0.01019837213186281,0.1211305306304697,0.17205143440137705,0.59941773570050161
e1a,marginal,-0.012720192035576647,0.1253925596480264,0.17485044799111465,0.59941773570050161
e1a,marginal,-0.020382252393805561,0.13060799575782261,0.19144771557511164,0.59941773570050161
e1a,marginal,-0.043538995186042373,0.1485020405376723,0.20655983569758313,0.59941773570050161
e1a,marginal,-0.048933094418316322,0.15341120122162877,0.21838635962271297,0.59941773570050161
