dataset,n,q,du,dv,score,evaluation_mode,target_s,threshold,selection_probability,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,ci_low,ci_high,frozen_score_sha256
e0,2,17,3,2,marginal,recalibrated,2,0.15556299437495036,0.25020607285021085,0.081375808451827417,0.16235561722508635,1.995133692849234,0.99648542391535111,0.99648542391535111,0.99648542391535111,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,recalibrated,4,0.58072025251387993,0.059178527251246893,0.081375808451827417,0.14037473157582764,1.7250179659834188,0.78661138757208648,0.78661138757208648,0.78661138757208648,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,recalibrated,6,0.84832020095619409,0.017630276795489567,0.081375808451827417,0.11180627149213537,1.3739497477106122,0.45832923846860441,0.45832923846860441,0.45832923846860441,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,recalibrated,8,1.0966912524904293,0.0029844264258150413,0.081375808451827417,0.041329240730830302,0.50788116907368419,-0.97743711135921463,-0.97743711135921463,-0.97743711135921463,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,recalibrated,10,1.0966912524904293,0.0029844264258150413,0.081375808451827417,0.041329240730830302,0.50788116907368419,-0.97743711135921463,-0.97743711135921463,-0.97743711135921463,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,frozen,2,0.15556299437495036,0.25020607285021085,0.081375808451827417,0.16235561722508635,1.995133692849234,0.99648542391535111,0.99648542391535111,0.99648542391535111,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,frozen,4,0.58072025251387993,0.059178527251246893,0.081375808451827417,0.14037473157582764,1.7250179659834188,0.78661138757208648,0.78661138757208648,0.78661138757208648,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,frozen,6,0.84832020095619409,0.017630276795489567,0.081375808451827417,0.11180627149213537,1.3739497477106122,0.45832923846860441,0.45832923846860441,0.45832923846860441,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,frozen,8,1.0966912524904293,0.0029844264258150413,0.081375808451827417,0.041329240730830302,0.50788116907368419,-0.97743711135921463,-0.97743711135921463,-0.97743711135921463,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,marginal,frozen,10,1.0966912524904293,0.0029844264258150413,0.081375808451827417,0.041329240730830302,0.50788116907368419,-0.97743711135921463,-0.97743711135921463,-0.97743711135921463,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e1a,2,19,3,2,joint,recalibrated,2,-0.088948997864438425,0.25061551883940553,0.039730927950787739,0.053903771364915379,1.3567206744247875,0.44012372510251752,0.44012372510251752,0.44012372510251752,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
