rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
14071,A=0.15|t=0.0|e=0.0,189,578,578,189,1.612683258279606,1.6126832582796062
14072,A=0.15|t=0.0|e=0.1,3025,9248,9248,3025,1.6122062554513596,1.6122062554513594
14073,A=0.15|t=0.0|e=0.16,89,272,272,89,1.6117294102839417,1.6117294102839417
14074,A=0.15|t=0.0|e=1.0,3027,9248,9248,3027,1.6112527226731652,1.6112527226731654
14075,A=0.15|t=0.0|e=1.1,6055,18496,18496,6055,1.6110144379189877,1.6110144379189877
14076,A=0.15|t=0.0|e=1.16,757,2312,2312,757,1.6107761925149473,1.610776192514947
14077,A=0.15|t=0.0|e=16.0,3029,9248,9248,3029,1.6102998197053064,1.6102998197053064
14078,A=0.15|t=0.0|e=16.1,6059,18496,18496,6059,1.6100616922737367,1.6100616922737367
14079,A=0.15|t=0.0|e=16.16,1515,4624,4624,1515,1.6098236041403657,1.6098236041403655
14080,A=0.15|t=0.16|e=0.0,3031,9248,9248,3031,1.6093475457163497,1.6093475457163497
14081,A=0.15|t=0.16|e=0.1,6063,18496,18496,6063,1.6091095753997873,1.6091095753997873
14082,A=0.15|t=0.16|e=0.16,379,1156,1156,379,1.608871644329587,1.6088716443295872
14083,A=0.15|t=0.16|e=1.0,6065,18496,18496,6065,1.608633752492806,1.608633752492806
14084,A=0.15|t=0.16|e=16.0,3033,9248,9248,3033,1.608395899876508,1.608395899876508
14085,A=0.15|t=0.1|e=0.0,1517,4624,4624,1517,1.6079203122536452,1.6079203122536454
14086,A=0.15|t=0.1|e=0.1,21,64,64,21,1.6076825772212398,1.6076825772212395
14087,A=0.15|t=0.1|e=0.16,3035,9248,9248,3035,1.6074448813576345,1.6074448813576343
14088,A=0.15|t=0.1|e=1.0,6071,18496,18496,6071,1.6072072246499247,1.6072072246499247
14089,A=0.15|t=0.1|e=16.0,759,2312,2312,759,1.6069696070852124,1.6069696070852124
14090,A=0.15|t=1.0|e=0.0,3037,9248,9248,3037,1.6064944893332191,1.606494489333219
14091,A=0.15|t=1.0|e=0.1,6075,18496,18496,6075,1.6062569891201732,1.6062569891201732
14092,A=0.15|t=1.0|e=0.16,1519,4624,4624,1519,1.6060195279985954,1.6060195279985954
14093,A=0.15|t=1.0|e=1.0,6077,18496,18496,6077,1.6057821059556192,1.6057821059556192
14094,A=0.15|t=1.0|e=16.0,3039,9248,9248,3039,1.6055447229783844,1.6055447229783846
14095,A=0.15|t=1.16|e=0.0,6079,18496,18496,6079,1.6053073790540375,1.6053073790540375
14096,A=0.15|t=1.1|e=0.0,95,289,289,95,1.605070074169731,1.605070074169731
14097,A=0.15|t=16.0|e=0.0,3041,9248,9248,3041,1.604595581469881,1.6045955814698811
14098,A=0.15|t=16.0|e=0.1,6083,18496,18496,6083,1.6043583936286745,1.6043583936286745
14099,A=0.15|t=16.0|e=0.16,1521,4624,4624,1521,1.6041212447761823,1.6041212447761821
14100,A=0.15|t=16.0|e=1.0,6085,18496,18496,6085,1.603884134899588,1.603884134899588
14101,A=0.15|t=16.0|e=16.0,179,544,544,179,1.603647063986083,1.603647063986083
14102,A=0.15|t=16.16|e=0.0,6087,18496,18496,6087,1.6034100320228637,1.6034100320228637
14103,A=0.15|t=16.1|e=0.0,761,2312,2312,761,1.6031730389971333,1.6031730389971333
14104,A=0.16|t=0.0|e=0.0,1523,4624,4624,1523,1.6022254560133866,1.6022254560133866
14105,A=0.16|t=0.0|e=0.1,3047,9248,9248,3047,1.6017518978141934,1.6017518978141931
14106,A=0.16|t=0.0|e=0.16,381,1156,1156,381,1.6012784950073569,1.6012784950073566
14107,A=0.16|t=0.0|e=1.0,3049,9248,9248,3049,1.6008052474909304,1.6008052474909304
14108,A=0.16|t=0.0|e=1.1,6099,18496,18496,6099,1.6005686819347902,1.6005686819347902
14109,A=0.16|t=0.0|e=1.16,1525,4624,4624,1525,1.6003321551630678,1.6003321551630678
14110,A=0.16|t=0.0|e=16.0,3051,9248,9248,3051,1.5998592179220226,1.5998592179220226
14111,A=0.16|t=0.0|e=16.1,359,1088,1088,359,1.599622807427288,1.599622807427288
14112,A=0.16|t=0.0|e=16.16,763,2312,2312,763,1.5993864356661485,1.5993864356661485
