t_norm2,margin,cumulative_weight,total_weight
2,-5,24910848,7378456281088
2,-4,354248448,7378456281088
2,-3,2956621504,7378456281088
2,-2,34869627296,7378456281088
2,-1,259314073024,7378456281088
2,1,1124260490208,7378456281088
2,2,3077835574528,7378456281088
2,3,5661270774496,7378456281088
2,4,7298570326208,7378456281088
2,5,7378456281088,7378456281088
20,-5,49821696,2101874786304
20,-4,708496896,2101874786304
20,-3,5913243008,2101874786304
20,-2,34844848960,2101874786304
20,-1,147190882176,2101874786304
20,1,450518309824,2101874786304
20,2,1010456828416,2101874786304
20,3,1677915988416,2101874786304
20,4,2082450228608,2101874786304
20,5,2101874786304,2101874786304
25,-5,74732544,3152812179456
25,-4,1062745344,3152812179456
25,-3,8869864512,3152812179456
25,-2,52267273440,3152812179456
25,-1,220786323264,3152812179456
25,1,675777464736,3152812179456
25,2,1515685242624,3152812179456
25,3,2516873982624,3152812179456
25,4,3123675342912,3152812179456
25,5,3152812179456,3152812179456
26,-5,49821696,2101874786304
26,-4,708496896,2101874786304
26,-3,5913243008,2101874786304
26,-2,34844848960,2101874786304
26,-1,147190882176,2101874786304
26,1,450518309824,2101874786304
26,2,1010456828416,2101874786304
26,3,1677915988416,2101874786304
26,4,2082450228608,2101874786304
26,5,2101874786304,2101874786304
29,-5,49821696,2101874786304
29,-4,708496896,2101874786304
29,-3,5913243008,2101874786304
29,-2,34844848960,2101874786304
29,-1,147190882176,2101874786304
29,1,450518309824,2101874786304
29,2,1010456828416,2101874786304
29,3,1677915988416,2101874786304
29,4,2082450228608,2101874786304
29,5,2101874786304,2101874786304
32,-5,24910848,1050937393152
32,-4,354248448,1050937393152
32,-3,2956621504,1050937393152
32,-2,17422424480,1050937393152
32,-1,73595441088,1050937393152
32,1,225259154912,1050937393152
32,2,505228414208,1050937393152
32,3,838957994208,1050937393152
32,4,1041225114304,1050937393152
32,5,1050937393152,1050937393152
34,-5,49821696,2101874786304
34,-4,708496896,2101874786304
34,-3,5913243008,2101874786304
34,-2,34844848960,2101874786304
34,-1,147190882176,2101874786304
34,1,450518309824,2101874786304
34,2,1010456828416,2101874786304
34,3,1677915988416,2101874786304
34,4,2082450228608,2101874786304
34,5,2101874786304,2101874786304
36,-5,24910848,1050937393152
36,-4,354248448,1050937393152
36,-3,2956621504,1050937393152
36,-2,17422424480,1050937393152
36,-1,73595441088,1050937393152
36,1,225259154912,1050937393152
36,2,505228414208,1050937393152
36,3,838957994208,1050937393152
36,4,1041225114304,1050937393152
36,5,1050937393152,1050937393152
37,-5,49821696,2101874786304
37,-4,708496896,2101874786304
37,-3,5913243008,2101874786304
37,-2,34844848960,2101874786304
37,-1,147190882176,2101874786304
37,1,450518309824,2101874786304
37,2,1010456828416,2101874786304
37,3,1677915988416,2101874786304
37,4,2082450228608,2101874786304
37,5,2101874786304,2101874786304
4,-5,24910848,1050937393152
4,-4,354248448,1050937393152
4,-3,2956621504,1050937393152
4,-2,17422424480,1050937393152
4,-1,73595441088,1050937393152
4,1,225259154912,1050937393152
4,2,505228414208,1050937393152
4,3,838957994208,1050937393152
4,4,1041225114304,1050937393152
4,5,1050937393152,1050937393152
40,-5,49821696,2101874786304
40,-4,708496896,2101874786304
40,-3,5913243008,2101874786304
40,-2,34844848960,2101874786304
40,-1,147190882176,2101874786304
40,1,450518309824,2101874786304
40,2,1010456828416,2101874786304
40,3,1677915988416,2101874786304
40,4,2082450228608,2101874786304
40,5,2101874786304,2101874786304
41,-5,49821696,2101874786304
41,-4,708496896,2101874786304
41,-3,5913243008,2101874786304
41,-2,34844848960,2101874786304
41,-1,147190882176,2101874786304
41,1,450518309824,2101874786304
41,2,1010456828416,2101874786304
41,3,1677915988416,2101874786304
41,4,2082450228608,2101874786304
41,5,2101874786304,2101874786304
45,-5,49821696,2101874786304
45,-4,708496896,2101874786304
45,-3,5913243008,2101874786304
45,-2,34844848960,2101874786304
45,-1,147190882176,2101874786304
45,1,450518309824,2101874786304
45,2,1010456828416,2101874786304
45,3,1677915988416,2101874786304
45,4,2082450228608,2101874786304
45,5,2101874786304,2101874786304
49,-5,24910848,1050937393152
49,-4,354248448,1050937393152
49,-3,2956621504,1050937393152
49,-2,17422424480,1050937393152
49,-1,73595441088,1050937393152
49,1,225259154912,1050937393152
49,2,505228414208,1050937393152
49,3,838957994208,1050937393152
49,4,1041225114304,1050937393152
49,5,1050937393152,1050937393152
5,-5,49821696,2101874786304
5,-4,708496896,2101874786304
5,-3,5913243008,2101874786304
5,-2,34844848960,2101874786304
5,-1,147190882176,2101874786304
5,1,450518309824,2101874786304
5,2,1010456828416,2101874786304
5,3,1677915988416,2101874786304
5,4,2082450228608,2101874786304
5,5,2101874786304,2101874786304
50,-5,74732544,3152812179456
50,-4,1062745344,3152812179456
50,-3,8869864512,3152812179456
50,-2,52267273440,3152812179456
50,-1,220786323264,3152812179456
50,1,675777464736,3152812179456
50,2,1515685242624,3152812179456
50,3,2516873982624,3152812179456
50,4,3123675342912,3152812179456
50,5,3152812179456,3152812179456
52,-5,49821696,2101874786304
52,-4,708496896,2101874786304
52,-3,5913243008,2101874786304
52,-2,34844848960,2101874786304
52,-1,147190882176,2101874786304
52,1,450518309824,2101874786304
52,2,1010456828416,2101874786304
52,3,1677915988416,2101874786304
52,4,2082450228608,2101874786304
52,5,2101874786304,2101874786304
53,-5,49821696,2101874786304
53,-4,708496896,2101874786304
53,-3,5913243008,2101874786304
53,-2,34844848960,2101874786304
53,-1,147190882176,2101874786304
53,1,450518309824,2101874786304
53,2,1010456828416,2101874786304
53,3,1677915988416,2101874786304
53,4,2082450228608,2101874786304
53,5,2101874786304,2101874786304
58,-5,49821696,2101874786304
58,-4,708496896,2101874786304
58,-3,5913243008,2101874786304
58,-2,34844848960,2101874786304
58,-1,147190882176,2101874786304
58,1,450518309824,2101874786304
58,2,1010456828416,2101874786304
58,3,1677915988416,2101874786304
58,4,2082450228608,2101874786304
58,5,2101874786304,2101874786304
61,-5,49821696,2101874786304
61,-4,708496896,2101874786304
61,-3,5913243008,2101874786304
61,-2,34844848960,2101874786304
61,-1,147190882176,2101874786304
61,1,450518309824,2101874786304
61,2,1010456828416,2101874786304
61,3,1677915988416,2101874786304
61,4,2082450228608,2101874786304
61,5,2101874786304,2101874786304
64,-5,24910848,1050937393152
64,-4,354248448,1050937393152
64,-3,2956621504,1050937393152
64,-2,17422424480,1050937393152
64,-1,73595441088,1050937393152
64,1,225259154912,1050937393152
64,2,505228414208,1050937393152
64,3,838957994208,1050937393152
64,4,1041225114304,1050937393152
64,5,1050937393152,1050937393152
65,-5,99643392,4203749572608
65,-4,1416993792,4203749572608
65,-3,11826486016,4203749572608
65,-2,69689697920,4203749572608
65,-1,294381764352,4203749572608
65,1,901036619648,4203749572608
65,2,2020913656832,4203749572608
65,3,3355831976832,4203749572608
65,4,4164900457216,4203749572608
65,5,4203749572608,4203749572608
68,-5,49821696,2101874786304
68,-4,708496896,2101874786304
68,-3,5913243008,2101874786304
68,-2,34844848960,2101874786304
68,-1,147190882176,2101874786304
68,1,450518309824,2101874786304
68,2,1010456828416,2101874786304
68,3,1677915988416,2101874786304
68,4,2082450228608,2101874786304
68,5,2101874786304,2101874786304
72,-5,24910848,1050937393152
72,-4,354248448,1050937393152
72,-3,2956621504,1050937393152
72,-2,17422424480,1050937393152
72,-1,73595441088,1050937393152
72,1,225259154912,1050937393152
72,2,505228414208,1050937393152
72,3,838957994208,1050937393152
72,4,1041225114304,1050937393152
72,5,1050937393152,1050937393152
73,-5,49821696,2101874786304
73,-4,708496896,2101874786304
73,-3,5913243008,2101874786304
73,-2,34844848960,2101874786304
73,-1,147190882176,2101874786304
73,1,450518309824,2101874786304
73,2,1010456828416,2101874786304
73,3,1677915988416,2101874786304
73,4,2082450228608,2101874786304
73,5,2101874786304,2101874786304
74,-5,49821696,2101874786304
74,-4,708496896,2101874786304
74,-3,5913243008,2101874786304
74,-2,34844848960,2101874786304
74,-1,147190882176,2101874786304
74,1,450518309824,2101874786304
74,2,1010456828416,2101874786304
74,3,1677915988416,2101874786304
74,4,2082450228608,2101874786304
74,5,2101874786304,2101874786304
8,-5,24910848,1050937393152
8,-4,354248448,1050937393152
8,-3,2956621504,1050937393152
8,-2,17422424480,1050937393152
8,-1,73595441088,1050937393152
8,1,225259154912,1050937393152
8,2,505228414208,1050937393152
8,3,838957994208,1050937393152
8,4,1041225114304,1050937393152
8,5,1050937393152,1050937393152
80,-5,49821696,2101874786304
80,-4,708496896,2101874786304
80,-3,5913243008,2101874786304
80,-2,34844848960,2101874786304
80,-1,147190882176,2101874786304
80,1,450518309824,2101874786304
80,2,1010456828416,2101874786304
80,3,1677915988416,2101874786304
80,4,2082450228608,2101874786304
80,5,2101874786304,2101874786304
85,-5,49821696,2101874786304
85,-4,708496896,2101874786304
85,-3,5913243008,2101874786304
85,-2,34844848960,2101874786304
85,-1,147190882176,2101874786304
85,1,450518309824,2101874786304
85,2,1010456828416,2101874786304
85,3,1677915988416,2101874786304
85,4,2082450228608,2101874786304
85,5,2101874786304,2101874786304
89,-5,49821696,2101874786304
89,-4,708496896,2101874786304
89,-3,5913243008,2101874786304
89,-2,34844848960,2101874786304
89,-1,147190882176,2101874786304
89,1,450518309824,2101874786304
89,2,1010456828416,2101874786304
89,3,1677915988416,2101874786304
89,4,2082450228608,2101874786304
89,5,2101874786304,2101874786304
9,-5,24910848,1050937393152
9,-4,354248448,1050937393152
9,-3,2956621504,1050937393152
9,-2,17422424480,1050937393152
9,-1,73595441088,1050937393152
9,1,225259154912,1050937393152
9,2,505228414208,1050937393152
9,3,838957994208,1050937393152
9,4,1041225114304,1050937393152
9,5,1050937393152,1050937393152
98,-5,24910848,1050937393152
98,-4,354248448,1050937393152
98,-3,2956621504,1050937393152
98,-2,17422424480,1050937393152
98,-1,73595441088,1050937393152
98,1,225259154912,1050937393152
98,2,505228414208,1050937393152
98,3,838957994208,1050937393152
98,4,1041225114304,1050937393152
98,5,1050937393152,1050937393152
