rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
10415,-11.-20.3.2,4379,4624,5587018724080,5343234215909,0.07853994804802782,0.06436539748459857
10416,-12.-15.-2.8,1095,1156,279362977100,267222720549,0.07821052801214302,0.06409816076126817
10417,-12.-16.0.5,4381,4624,5587500359920,5345674606051,0.07788118317772826,0.0638309965592866
10418,-12.-17.2.2,2191,2312,2793870588920,2673447400561,0.07755191351045637,0.06356390484455776
10419,-12.-19.-2.10,4383,4624,5587981995760,5348114996193,0.07722271897602422,0.06329688558300907
10420,-12.-20.0.7,274,289,349263925855,334333449454,0.07689359954015212,0.06302993874059218
10421,-12.-21.2.4,4385,4624,1117692726320,1070111077267,0.07656455516858338,0.06276306428328152
10422,-13.-17.-1.7,129,136,164373660280,157405164159,0.07623558582708535,0.062496262177074574
10423,-13.-18.1.4,4387,4624,5588945267440,5352995776477,0.07590669148144817,0.062229532387993294
10424,-13.-21.-1.9,1097,1156,1397296521340,1338553992887,0.07557787209748586,0.06196287488208194
10425,-13.-22.1.6,4389,4624,508129718480,486857833329,0.0752491276410358,0.061696289625408705
10426,-14.-23.0.8,2195,2312,558966772120,535665636169,0.07492045807795825,0.061429776584064844
10427,-3.-7.9.-13,4391,4624,5589908539120,5357876556761,0.07459186337413741,0.06116333572416538
10428,-3.2.-9.14,549,578,698768669630,669887093979,0.07426334349548017,0.0608969670118476
10429,-4.-10.12.-17,8785,9248,2236107906400,2143882739747,0.07409911160494041,0.060763809700456355
10430,-4.-14.12.-15,8787,9248,11181021167840,10721854088877,0.07377070390015575,0.06049754914607139
10431,-4.-2.-12.21,517,544,59794132640,57349168337,0.07344237093540484,0.0602313606547149
10432,-4.-9.10.-14,8791,9248,11181984439520,10726734869161,0.07311411267667599,0.05996524419260592
10433,-4.1.-10.16,8793,9248,11182466075360,10729175259303,0.07278592908998115,0.059699199725987265
10434,-4.2.-12.19,4397,4624,5591353446640,5365197727187,0.0726218652880316,0.05956620448044368
10435,-5.-11.11.-15,8795,9248,2236589542240,2146323129889,0.0724578201413555,0.05943322722112439
